frame_id,time_sec,people,mean_keypoint_conf,low_keypoint_count,lowest_keypoint,lowest_keypoint_conf,keypoint_threshold
1,0.0,1,0.8619,1,left_ear,0.1732,0.5
2,0.033,1,0.8612,1,left_ear,0.171,0.5
3,0.067,1,0.858,1,left_ear,0.1557,0.5
4,0.1,1,0.8692,1,left_ear,0.2008,0.5
5,0.133,1,0.8546,1,left_ear,0.1548,0.5
6,0.167,1,0.842,2,left_ear,0.1392,0.5
7,0.2,1,0.8385,2,left_ear,0.1377,0.5
8,0.233,1,0.8398,2,left_ear,0.1384,0.5
9,0.267,1,0.8393,2,left_ear,0.1363,0.5
10,0.3,1,0.8364,2,left_ear,0.1452,0.5
11,0.333,1,0.8394,2,left_ear,0.1456,0.5
12,0.367,1,0.8363,2,left_ear,0.182,0.5
13,0.4,1,0.8136,2,left_ear,0.1476,0.5
14,0.433,1,0.8083,2,left_ear,0.148,0.5
15,0.467,1,0.8151,2,left_ear,0.1571,0.5
16,0.5,1,0.8123,2,left_ear,0.1738,0.5
17,0.533,1,0.8175,2,left_ear,0.1844,0.5
18,0.567,1,0.8262,2,left_ear,0.2263,0.5
19,0.6,1,0.8304,2,left_ear,0.2407,0.5
20,0.633,1,0.8082,2,left_ear,0.2761,0.5
21,0.667,1,0.845,2,left_ear,0.3436,0.5
22,0.7,1,0.8233,2,left_ear,0.3423,0.5
23,0.733,1,0.8061,2,left_eye,0.3273,0.5
24,0.767,1,0.7788,3,left_eye,0.2467,0.5
25,0.8,1,0.7925,4,left_eye,0.3449,0.5
26,0.833,1,0.7934,4,left_eye,0.3423,0.5
27,0.867,1,0.8145,3,left_eye,0.4249,0.5
28,0.9,1,0.8322,2,right_ear,0.2956,0.5
29,0.933,1,0.7919,3,right_eye,0.3524,0.5
30,0.967,1,0.7997,3,right_eye,0.3842,0.5
31,1.0,1,0.7985,3,right_ear,0.3737,0.5
32,1.033,1,0.7956,3,right_ear,0.376,0.5
33,1.067,1,0.7834,3,left_eye,0.3576,0.5
34,1.1,1,0.8044,3,right_ear,0.4175,0.5
35,1.133,1,0.8062,2,right_eye,0.2895,0.5
36,1.167,1,0.7813,3,right_eye,0.2231,0.5
37,1.2,1,0.7876,3,right_eye,0.2466,0.5
38,1.233,1,0.7903,3,right_eye,0.2519,0.5
39,1.267,1,0.793,3,right_eye,0.2569,0.5
40,1.3,1,0.8017,2,right_eye,0.2835,0.5
41,1.333,1,0.7961,2,right_eye,0.2705,0.5
42,1.367,1,0.7901,3,right_eye,0.2657,0.5
43,1.4,1,0.7966,2,right_eye,0.2853,0.5
44,1.433,1,0.7963,2,right_eye,0.2845,0.5
45,1.467,1,0.7875,3,right_eye,0.3476,0.5
46,1.5,1,0.7965,3,right_eye,0.3689,0.5
47,1.533,1,0.8047,3,left_eye,0.3706,0.5
48,1.567,1,0.826,2,left_eye,0.4191,0.5
49,1.6,1,0.8419,2,left_eye,0.491,0.5
50,1.633,1,0.839,2,left_eye,0.4863,0.5
51,1.667,1,0.8181,2,left_eye,0.3423,0.5
52,1.7,1,0.8519,1,left_ear,0.4541,0.5
53,1.733,1,0.8447,2,left_ear,0.3348,0.5
54,1.767,1,0.8019,2,left_ear,0.2372,0.5
55,1.8,1,0.8026,2,left_ear,0.1825,0.5
56,1.833,1,0.8032,2,left_ear,0.1827,0.5
57,1.867,1,0.8222,2,left_ear,0.2049,0.5
58,1.9,1,0.8127,2,left_ear,0.1585,0.5
59,1.933,1,0.8223,2,left_ear,0.1532,0.5
60,1.967,1,0.834,2,left_ear,0.1516,0.5
