frame_id,time_sec,keypoint_id,keypoint_name,pixel_x,pixel_y,confidence
1,0.0,0,nose,441.72,186.56,0.932
1,0.0,1,left_eye,445.08,183.05,0.5348
1,0.0,2,right_eye,441.23,179.58,0.9102
1,0.0,3,left_ear,439.46,176.29,0.1732
1,0.0,4,right_ear,427.6,172.38,0.8357
1,0.0,5,left_shoulder,416.19,185.71,0.963
1,0.0,6,right_shoulder,408.36,186.29,0.9975
1,0.0,7,left_elbow,397.15,221.99,0.7999
1,0.0,8,right_elbow,397.4,234.95,0.9947
1,0.0,9,left_wrist,407.92,271.88,0.7509
1,0.0,10,right_wrist,402.8,273.06,0.9747
1,0.0,11,left_hip,333.87,206.66,0.9904
1,0.0,12,right_hip,325.92,198.64,0.9976
1,0.0,13,left_knee,273.73,241.53,0.9625
1,0.0,14,right_knee,259.48,237.07,0.9886
1,0.0,15,left_ankle,218.45,239.99,0.8989
1,0.0,16,right_ankle,204.1,233.65,0.9479
2,0.033,0,nose,441.81,186.55,0.9314
2,0.033,1,left_eye,445.15,183.02,0.5305
2,0.033,2,right_eye,441.31,179.58,0.9094
2,0.033,3,left_ear,439.4,176.24,0.171
2,0.033,4,right_ear,427.58,172.42,0.8349
2,0.033,5,left_shoulder,416.05,185.77,0.9628
2,0.033,6,right_shoulder,408.25,186.35,0.9975
2,0.033,7,left_elbow,397.04,222.28,0.8006
2,0.033,8,right_elbow,397.36,235.07,0.9947
2,0.033,9,left_wrist,407.71,272.09,0.7523
2,0.033,10,right_wrist,402.76,273.16,0.9748
2,0.033,11,left_hip,333.49,206.87,0.9903
2,0.033,12,right_hip,325.55,198.83,0.9976
2,0.033,13,left_knee,273.22,241.74,0.9618
2,0.033,14,right_knee,259.04,237.28,0.9883
2,0.033,15,left_ankle,218.43,240.05,0.8966
2,0.033,16,right_ankle,204.13,233.81,0.9465
3,0.067,0,nose,442.27,187.29,0.9287
3,0.067,1,left_eye,445.44,183.68,0.5108
3,0.067,2,right_eye,441.77,180.26,0.9078
3,0.067,3,left_ear,439.23,176.35,0.1557
3,0.067,4,right_ear,427.58,172.59,0.8348
3,0.067,5,left_shoulder,415.79,185.49,0.961
3,0.067,6,right_shoulder,408.11,185.95,0.9974
3,0.067,7,left_elbow,396.82,222.24,0.7956
3,0.067,8,right_elbow,397.25,234.61,0.9946
3,0.067,9,left_wrist,407.81,271.99,0.7478
3,0.067,10,right_wrist,402.61,272.91,0.9746
3,0.067,11,left_hip,333.42,207.07,0.99
3,0.067,12,right_hip,325.49,198.99,0.9975
3,0.067,13,left_knee,272.81,241.94,0.9611
3,0.067,14,right_knee,258.41,237.43,0.9881
3,0.067,15,left_ankle,218.38,239.95,0.8949
3,0.067,16,right_ankle,203.64,233.87,0.9454
4,0.1,0,nose,440.55,186.17,0.9467
4,0.1,1,left_eye,444.72,182.79,0.6168
4,0.1,2,right_eye,440.02,178.82,0.925
4,0.1,3,left_ear,440.49,176.77,0.2008
4,0.1,4,right_ear,426.49,171.69,0.8259
4,0.1,5,left_shoulder,415.72,186.9,0.9636
4,0.1,6,right_shoulder,407.65,186.47,0.9974
4,0.1,7,left_elbow,396.77,222.93,0.8048
4,0.1,8,right_elbow,396.97,235.17,0.9943
4,0.1,9,left_wrist,407.62,272.55,0.7636
4,0.1,10,right_wrist,402.95,273.45,0.9744
4,0.1,11,left_hip,333.03,207.24,0.9892
4,0.1,12,right_hip,324.86,198.71,0.9972
4,0.1,13,left_knee,272.1,242.36,0.9587
4,0.1,14,right_knee,257.94,236.8,0.9869
4,0.1,15,left_ankle,218.36,241.06,0.8898
4,0.1,16,right_ankle,203.63,232.61,0.9419
5,0.133,0,nose,441.85,187.94,0.9246
5,0.133,1,left_eye,445.04,184.38,0.5014
5,0.133,2,right_eye,441.48,180.85,0.9016
5,0.133,3,left_ear,439.09,176.99,0.1548
5,0.133,4,right_ear,427.62,173.01,0.8234
5,0.133,5,left_shoulder,415.63,185.94,0.958
5,0.133,6,right_shoulder,407.96,186.33,0.9973
5,0.133,7,left_elbow,396.57,222.33,0.7883
5,0.133,8,right_elbow,396.53,234.75,0.9945
5,0.133,9,left_wrist,407.6,272.37,0.7432
5,0.133,10,right_wrist,402.53,273.05,0.9744
5,0.133,11,left_hip,333.47,207.41,0.9894
5,0.133,12,right_hip,325.51,199.31,0.9974
5,0.133,13,left_knee,272.78,242.42,0.9589
5,0.133,14,right_knee,258.34,237.77,0.9876
5,0.133,15,left_ankle,218.47,240.22,0.8899
5,0.133,16,right_ankle,203.58,233.68,0.9433
6,0.167,0,nose,441.89,189.59,0.9005
6,0.167,1,left_eye,444.37,185.9,0.4213
6,0.167,2,right_eye,441.8,182.61,0.8748
6,0.167,3,left_ear,437.47,177.27,0.1392
6,0.167,4,right_ear,428.42,174.03,0.8165
6,0.167,5,left_shoulder,415.25,185.02,0.9526
6,0.167,6,right_shoulder,408.25,186.53,0.9971
