keypoint_id,keypoint_name,confidence,pixel_x,pixel_y,centered_x,centered_y,normalized_x,normalized_y
0,nose,0.9904,377.51,335.49,-1.0685,-239.1125,-0.010302,-2.305628
1,left_eye,0.9579,388.45,325.72,9.8711,-248.8781,0.095181,-2.399792
2,right_eye,0.9622,366.53,326.11,-12.0516,-248.4908,-0.116207,-2.396058
3,left_ear,0.7227,403.4,336.8,24.8268,-237.8045,0.239391,-2.293015
4,right_ear,0.6943,348.62,337.41,-29.9573,-237.1884,-0.288862,-2.287076
5,left_shoulder,0.9963,428.65,388.04,50.0762,-186.5573,0.482857,-1.798868
6,right_shoulder,0.9983,325.02,391.99,-53.5567,-182.6064,-0.516417,-1.760772
7,left_elbow,0.9849,497.28,358.69,118.6993,-215.9113,1.144551,-2.081912
8,right_elbow,0.994,263.65,368.46,-114.9236,-206.1445,-1.108144,-1.987736
9,left_wrist,0.9801,526.4,276.62,147.8212,-297.9818,1.425357,-2.873272
10,right_wrist,0.9879,240.57,291.15,-138.0027,-283.4525,-1.330683,-2.733173
11,left_hip,0.9997,414.15,573.65,35.5732,-0.9518,0.343012,-0.009178
12,right_hip,0.9998,343.0,575.55,-35.5732,0.9518,-0.343012,0.009178
13,left_knee,0.9986,434.59,695.97,56.0176,121.3654,0.540146,1.170259
14,right_knee,0.999,334.94,696.74,-43.6381,122.1425,-0.420777,1.177752
15,left_ankle,0.9863,444.41,812.7,65.8334,238.0947,0.634795,2.295814
16,right_ankle,0.9895,311.98,812.27,-66.5967,237.6686,-0.642155,2.291705
