keypoint_id,keypoint_name,confidence,pixel_x,pixel_y,centered_x,centered_y,normalized_x,normalized_y
0,nose,0.9925,350.11,200.98,5.5095,-366.9818,0.034392,-2.290818
1,left_eye,0.9838,368.53,187.16,23.9355,-380.805,0.149413,-2.377107
2,right_eye,0.9675,334.89,189.98,-9.7072,-377.9879,-0.060596,-2.359522
3,left_ear,0.9265,394.39,209.13,49.7906,-358.8332,0.310809,-2.239952
4,right_ear,0.6064,317.88,215.02,-26.7155,-352.9454,-0.166767,-2.203198
5,left_shoulder,0.9947,439.3,287.91,94.7056,-280.0526,0.591183,-1.748178
6,right_shoulder,0.9971,279.26,294.92,-65.3377,-273.0407,-0.407859,-1.704408
7,left_elbow,0.9698,550.18,212.51,205.5835,-355.4516,1.283318,-2.218843
8,right_elbow,0.9829,147.62,232.97,-196.9767,-334.9976,-1.229592,-2.091162
9,left_wrist,0.9517,598.44,101.45,253.8463,-466.51,1.58459,-2.912105
10,right_wrist,0.9627,103.93,144.22,-240.6673,-423.7405,-1.502322,-2.645124
11,left_hip,0.9996,397.06,567.13,52.4586,-0.8386,0.327464,-0.005235
12,right_hip,0.9997,292.14,568.8,-52.4586,0.8385,-0.327464,0.005234
13,left_knee,0.9976,415.87,791.12,71.2751,223.1531,0.444922,1.392993
14,right_knee,0.9981,280.02,789.87,-64.5778,221.9046,-0.403115,1.3852
15,left_ankle,0.9698,447.1,980.63,102.5046,412.668,0.639866,2.576006
16,right_ankle,0.9755,253.23,984.42,-91.3673,416.4598,-0.570344,2.599676
