keypoint_id,keypoint_name,confidence,pixel_x,pixel_y,centered_x,centered_y,normalized_x,normalized_y
0,nose,0.9942,336.04,261.09,9.4708,-320.268,0.071275,-2.410257
1,left_eye,0.9834,352.9,248.4,26.3282,-332.9521,0.198139,-2.505714
2,right_eye,0.9789,321.91,249.77,-4.6564,-331.5811,-0.035043,-2.495396
3,left_ear,0.862,374.41,261.21,47.8367,-320.1419,0.360007,-2.409308
4,right_ear,0.6552,301.28,263.05,-25.2918,-318.3041,-0.19034,-2.395477
5,left_shoulder,0.9929,402.33,321.57,75.7646,-259.7829,0.570185,-1.955061
6,right_shoulder,0.9961,269.46,321.18,-57.1119,-260.1772,-0.42981,-1.958028
7,left_elbow,0.9704,454.35,243.41,127.7765,-337.9398,0.961614,-2.54325
8,right_elbow,0.9851,214.87,235.32,-111.704,-346.0316,-0.840656,-2.604147
9,left_wrist,0.9707,423.5,118.93,96.9279,-462.4211,0.729455,-3.480066
10,right_wrist,0.9781,263.37,116.32,-63.2048,-465.0318,-0.475664,-3.499713
11,left_hip,0.9993,370.17,581.18,43.5971,-0.1747,0.328101,-0.001315
12,right_hip,0.9994,282.97,581.53,-43.5971,0.1747,-0.328101,0.001315
13,left_knee,0.9954,379.97,762.81,53.4015,181.454,0.401886,1.365577
14,right_knee,0.9965,306.74,760.09,-19.8316,178.7351,-0.149248,1.345116
15,left_ankle,0.9488,373.06,928.6,46.4865,347.2431,0.349846,2.613265
16,right_ankle,0.9596,310.02,928.72,-16.5482,347.3675,-0.124538,2.614201
