frame_id,time_sec,valid_pose,mean_keypoint_conf,low_keypoint_count,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,left_elbow_angle,right_elbow_angle,left_knee_angle,right_knee_angle
1,0.0,1,0.8619,1,14.243178,-2.049497,14.671454,-2.496192,14.180396,-2.938487,13.954695,-3.357174,12.444936,-3.855186,10.990924,-2.158051,9.993714,-2.083396,8.5667,2.462574,8.598126,4.113861,9.938178,8.817244,9.285618,8.967896,0.506419,0.510644,-0.506423,-0.510644,-7.153213,4.951324,-8.968173,4.384027,-14.19376,4.756136,-16.022264,3.948245,140.137238,159.247664,148.308913,146.417817
2,0.0333,1,0.8612,1,14.358839,-2.084735,14.785342,-2.5357,14.294665,-2.97592,14.050381,-3.402329,12.538281,-3.891404,11.063781,-2.183969,10.066521,-2.109987,8.633264,2.484379,8.674558,4.120303,9.997353,8.85335,9.365216,8.99109,0.507562,0.513759,-0.507566,-0.513759,-7.199913,4.973198,-9.012857,4.402091,-14.205037,4.756397,-16.033861,3.958394,140.408004,159.335356,148.17424,146.357106
3,0.0667,1,0.858,1,14.660097,-2.04508,15.071892,-2.514599,14.59425,-2.958866,14.26466,-3.466738,12.750518,-3.955285,11.218779,-2.279321,10.220587,-2.219212,8.754273,2.49629,8.809814,4.103377,10.181109,8.961828,9.506159,9.080997,0.515291,0.524705,-0.515295,-0.524703,-7.360537,5.057001,-9.231388,4.470221,-14.433202,4.797513,-16.347897,4.007983,140.258768,159.45782,147.979731,146.467996
4,0.1,1,0.8692,1,13.82268,-2.081295,14.339426,-2.499966,13.757896,-2.991113,13.815634,-3.245079,12.082098,-3.874871,10.747496,-1.99124,9.748897,-2.044163,8.400968,2.471073,8.425011,3.988105,9.745071,8.617335,9.166536,8.728882,0.505793,0.528727,-0.505793,-0.528729,-7.040009,4.878293,-8.793758,4.189235,-13.696189,4.716709,-15.521132,3.670347,139.92654,158.731838,148.64928,145.938553
5,0.1333,1,0.8546,1,14.619669,-2.006453,15.035334,-2.469357,14.572506,-2.928201,14.261106,-3.431219,12.768164,-3.94872,11.208744,-2.266501,10.210067,-2.215078,8.7287,2.468159,8.723514,4.084077,10.163972,8.980069,9.504349,9.068081,0.517412,0.526944,-0.517412,-0.526944,-7.37871,5.08278,-9.257742,4.478061,-14.446515,4.797016,-16.383163,3.945341,139.924498,157.817516,147.700976,145.927433
6,0.1667,1,0.842,2,15.645167,-1.897701,15.990956,-2.412791,15.632148,-2.871835,15.028095,-3.617672,13.763563,-4.070932,11.924501,-2.535398,10.946831,-2.325258,9.250459,2.567839,9.300297,4.492942,10.883623,9.589422,10.173003,9.733878,0.524262,0.528833,-0.524262,-0.528833,-7.897021,5.337903,-9.943699,4.82306,-15.571067,4.99337,-17.607941,4.248327,139.252201,156.969518,147.700362,146.107303
7,0.2,1,0.8385,2,16.14427,-1.846664,16.463474,-2.38211,16.143879,-2.835645,15.440803,-3.688464,14.269462,-4.097624,12.316714,-2.647993,11.36,-2.356966,9.572232,2.609777,9.637765,4.683176,11.285718,9.860595,10.494505,10.022998,0.522925,0.530441,-0.522929,-0.530441,-8.087687,5.470836,-10.209291,5.000838,-16.000055,5.083629,-18.118526,4.403608,139.14008,157.13859,147.353011,145.953763
8,0.2333,1,0.8398,2,16.120155,-1.84687,16.446629,-2.378294,16.120314,-2.837385,15.439765,-3.674302,14.248486,-4.099665,12.307121,-2.63218,11.343604,-2.364532,9.563264,2.621716,9.623616,4.661546,11.255828,9.869508,10.467014,10.01009,0.525325,0.535134,-0.52532,-0.535134,-8.080187,5.461478,-10.202071,4.972913,-15.977578,5.089418,-18.098644,4.381648,139.279472,157.283432,147.513125,146.069187
9,0.2667,1,0.8393,2,15.487679,-1.847118,15.807084,-2.365186,15.469708,-2.795072,14.82535,-3.590856,13.628046,-3.977138,11.808002,-2.56837,10.848006,-2.288353,9.148186,2.444504,9.173873,4.431681,10.74106,9.429255,9.979714,9.612064,0.518415,0.507827,-0.518415,-0.507825,-7.757476,5.217364,-9.840955,4.767276,-15.360242,4.871184,-17.473997,4.230986,139.203107,157.169067,147.750145,146.477976
10,0.3,1,0.8364,2,15.862251,-1.661345,16.181156,-2.195908,15.871014,-2.651604,15.25924,-3.558133,14.110488,-3.964122,12.200921,-2.605287,11.26511,-2.252784,9.382418,2.578556,9.46615,4.783708,11.083342,9.926042,10.343105,10.142583,0.517172,0.512481,-0.517172,-0.512483,-7.939628,5.526482,-10.086939,5.10147,-15.941581,5.17634,-18.118681,4.496182,138.432436,156.365055,146.830981,145.292879
