keypoint_id,keypoint_name,left_x,left_y,flipped_left_x,flipped_left_y,actual_right_x,actual_right_y,original_distance,flipped_distance
0,nose,0.032036,-2.176564,-0.032036,-2.176564,-0.006618,-2.15713,0.043264,0.031997
1,left_eye,0.141278,-2.265367,0.060113,-2.285553,0.10124,-2.270028,0.040309,0.04396
2,right_eye,-0.060113,-2.285553,-0.141278,-2.265367,-0.104817,-2.246723,0.059214,0.040952
3,left_ear,0.270256,-2.18295,0.223923,-2.22113,0.271501,-2.209236,0.026315,0.049042
4,right_ear,-0.223923,-2.22113,-0.270256,-2.18295,-0.205455,-2.189053,0.037014,0.065089
5,left_shoulder,0.485552,-1.750986,0.494509,-1.552291,0.572097,-1.543243,0.22505,0.078114
6,right_shoulder,-0.494509,-1.552291,-0.485552,-1.750986,-0.391754,-1.809686,0.277148,0.110652
7,left_elbow,1.181503,-2.085665,0.759906,-0.70315,0.937756,-0.764203,1.343753,0.188037
8,right_elbow,-0.759906,-0.70315,-1.181503,-2.085665,-1.087697,-2.199986,1.532307,0.147881
9,left_wrist,1.855748,-2.734506,0.788812,0.233306,1.009928,0.246656,3.098829,0.221519
10,right_wrist,-0.788812,0.233306,-1.855748,-2.734506,-1.502358,-2.674853,2.994418,0.358389
11,left_hip,0.317333,-0.03578,0.317333,0.035779,0.306931,0.041281,0.077759,0.011768
12,right_hip,-0.317333,0.035779,-0.317333,-0.03578,-0.30693,-0.041281,0.077759,0.011768
13,left_knee,0.451795,1.285519,0.292029,1.282467,0.374322,1.35443,0.103686,0.10932
14,right_knee,-0.292029,1.282467,-0.451795,1.285519,-0.330509,1.368918,0.094628,0.147193
15,left_ankle,0.455684,2.337986,0.256151,2.378346,0.455356,2.472478,0.134492,0.220325
16,right_ankle,-0.256151,2.378346,-0.455684,2.337986,-0.360286,2.532394,0.185943,0.216553
