action_id,action_label,source,frame_id,time_sec,pose_ok,feature_ok,mean_keypoint_conf,low_keypoint_count,hip_center_x,hip_center_y,shoulder_width,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,left_elbow_angle,right_elbow_angle,left_knee_angle,right_knee_angle
A001,bend_return,bend_return.mp4,0,0.0,1,1,0.9733,0,345.505,249.119,56.5271,-0.00186,-2.405163,0.108075,-2.515685,-0.117243,-2.517222,0.267692,-2.424663,-0.301115,-2.423955,0.48037,-1.711498,-0.519217,-1.682755,0.671599,-0.816181,-0.760118,-0.756518,0.768237,-0.037304,-0.853626,0.012388,0.348788,-0.007398,-0.348788,0.007398,0.478129,1.27899,-0.580902,1.316069,0.539378,2.461042,-0.669195,2.501411,175.016224,172.354965,177.224766,174.202212
A001,bend_return,bend_return.mp4,1,0.04,1,1,0.9732,0,345.2601,248.9448,56.5514,0.004055,-2.399993,0.113769,-2.510729,-0.11192,-2.512254,0.271928,-2.419971,-0.298707,-2.419456,0.482591,-1.70692,-0.517046,-1.679978,0.674936,-0.807754,-0.756128,-0.753467,0.768767,-0.02653,-0.849664,0.012943,0.348872,-0.007173,-0.348872,0.007173,0.482707,1.279066,-0.575981,1.316056,0.543655,2.462766,-0.666284,2.503348,174.774377,172.489082,177.007029,174.50581
A001,bend_return,bend_return.mp4,2,0.08,1,1,0.9731,0,345.1445,248.6788,56.5501,0.00599,-2.392094,0.11548,-2.504237,-0.10998,-2.504524,0.27465,-2.417516,-0.295623,-2.414537,0.485679,-1.706189,-0.513936,-1.678427,0.677317,-0.804337,-0.756451,-0.749482,0.765566,-0.027034,-0.848782,0.022313,0.348679,-0.007314,-0.34868,0.007314,0.481454,1.280423,-0.574739,1.317577,0.54565,2.465591,-0.661336,2.509434,174.480685,172.190556,177.213785,174.366744
A001,bend_return,bend_return.mp4,3,0.12,1,1,0.9731,0,345.1332,248.7386,56.7491,0.005125,-2.382618,0.114996,-2.495341,-0.110921,-2.495346,0.274522,-2.411017,-0.296614,-2.40784,0.485638,-1.702424,-0.514023,-1.676369,0.676902,-0.798435,-0.753213,-0.749418,0.760527,-0.021356,-0.844953,0.024011,0.348553,-0.006825,-0.348554,0.006825,0.478883,1.278292,-0.575037,1.313846,0.54394,2.459216,-0.656293,2.502741,174.195961,172.295587,177.362402,174.079039
A001,bend_return,bend_return.mp4,4,0.16,1,1,0.9726,0,344.9743,248.7773,56.831,0.008905,-2.380039,0.118587,-2.49318,-0.107135,-2.493025,0.27751,-2.410381,-0.294063,-2.407205,0.48758,-1.70346,-0.512084,-1.677523,0.680303,-0.800154,-0.750111,-0.752157,0.761606,-0.019969,-0.843353,0.018829,0.348521,-0.006921,-0.348521,0.006921,0.482003,1.275462,-0.569359,1.311879,0.544513,2.451867,-0.652255,2.495649,173.905644,172.470685,177.099232,174.400488
A001,bend_return,bend_return.mp4,5,0.2,1,1,0.9727,0,344.8365,248.969,56.9381,0.008303,-2.37221,0.118183,-2.486107,-0.1074,-2.485155,0.279509,-2.406807,-0.291766,-2.401811,0.490552,-1.701607,-0.509096,-1.67507,0.679283,-0.801747,-0.745772,-0.753838,0.761504,-0.027015,-0.837725,0.017924,0.348369,-0.007069,-0.348369,0.007069,0.480869,1.274306,-0.568079,1.311731,0.543802,2.444536,-0.644977,2.492221,174.212736,172.386166,177.174577,174.167965
A001,bend_return,bend_return.mp4,6,0.24,1,1,0.9726,0,344.7963,249.0559,56.8927,0.007947,-2.375041,0.118085,-2.489139,-0.107353,-2.488053,0.28095,-2.410967,-0.289581,-2.40556,0.491633,-1.706647,-0.507968,-1.678382,0.67587,-0.811891,-0.74841,-0.757505,0.758799,-0.040172,-0.837124,0.018104,0.348517,-0.007544,-0.348517,0.007544,0.482216,1.27301,-0.568455,1.311584,0.545266,2.442103,-0.645843,2.49152,174.498467,171.891818,177.126625,174.179202
A001,bend_return,bend_return.mp4,7,0.28,1,1,0.9723,0,344.4518,249.0206,57.1777,0.009048,-2.356218,0.122175,-2.471783,-0.105647,-2.472165,0.289618,-2.398547,-0.28621,-2.397523,0.498045,-1.698646,-0.501696,-1.675882,0.683494,-0.80042,-0.736948,-0.753141,0.760886,-0.031672,-0.822276,0.025945,0.348758,-0.006201,-0.348758,0.006201,0.485982,1.273516,-0.562947,1.307619,0.544809,2.437701,-0.641623,2.481453,174.083411,171.947431,176.772322,174.488502
A001,bend_return,bend_return.mp4,8,0.32,1,1,0.9723,0,344.1752,248.548,57.0218,0.010147,-2.35043,0.122262,-2.466448,-0.103384,-2.466392,0.290448,-2.395956,-0.281441,-2.394668,0.502206,-1.694376,-0.497638,-1.676739,0.690866,-0.790786,-0.735223,-0.755568,0.772342,-0.017477,-0.81771,0.033562,0.348735,-0.005201,-0.348735,0.005201,0.490674,1.279327,-0.560166,1.31126,0.550929,2.453445,-0.64012,2.498816,174.221209,171.505067,176.632214,174.656209
A001,bend_return,bend_return.mp4,9,0.36,1,1,0.9719,0,344.0185,248.7216,57.3728,0.012933,-2.320994,0.124213,-2.439866,-0.101305,-2.43741,0.292984,-2.380168,-0.279853,-2.374245,0.504226,-1.691075,-0.495545,-1.669686,0.690517,-0.784704,-0.73215,-0.7457,0.76949,-0.012527,-0.805047,0.036868,0.348659,-0.006394,-0.34866,0.006394,0.493177,1.26895,-0.554722,1.305993,0.550836,2.436486,-0.633926,2.4907,174.225009,170.958863,176.362342,174.815144
A001,bend_return,bend_return.mp4,10,0.4,1,1,0.9717,0,344.0806,248.8501,57.6714,0.010699,-2.301713,0.120644,-2.420863,-0.102914,-2.416919,0.289399,-2.365261,-0.280225,-2.356257,0.504152,-1.683522,-0.495575,-1.660128,0.693284,-0.78625,-0.733943,-0.748235,0.76678,-0.008956,-0.804599,0.032333,0.348416,-0.006812,-0.348416,0.006812,0.492751,1.261961,-0.551243,1.300846,0.548711,2.419286,-0.630251,2.476312,173.498563,170.522942,176.278056,174.937204
A001,bend_return,bend_return.mp4,11,0.44,1,1,0.9714,0,343.7676,249.0048,58.4665,-0.000466,-2.259341,0.112973,-2.376332,-0.109233,-2.375796,0.291373,-2.322249,-0.273033,-2.320777,0.509401,-1.654158,-0.490341,-1.631456,0.696682,-0.769297,-0.732737,-0.722205,0.762845,0.008901,-0.77183,0.048346,0.347822,-0.006806,-0.347821,0.006806,0.494289,1.244535,-0.537232,1.282102,0.542149,2.39667,-0.611346,2.442207,172.909282,167.977147,175.702671,175.207395
A001,bend_return,bend_return.mp4,12,0.48,1,1,0.9697,0,343.8171,249.724,59.5244,0.000832,-2.186359,0.110623,-2.306969,-0.108382,-2.304096,0.28666,-2.273134,-0.276349,-2.268035,0.50567,-1.627514,-0.494095,-1.605859,0.682395,-0.734305,-0.7276,-0.698523,0.742008,0.038171,-0.75596,0.048521,0.347959,-0.007563,-0.347959,0.007563,0.498946,1.212542,-0.529027,1.256612,0.530092,2.329443,-0.604332,2.386726,173.221151,167.741981,174.542923,175.563896
A001,bend_return,bend_return.mp4,13,0.52,1,1,0.9683,0,342.9218,251.1903,60.511,0.004481,-2.126374,0.114918,-2.24679,-0.10245,-2.244239,0.298143,-2.225118,-0.263008,-2.220054,0.515503,-1.603909,-0.484183,-1.578844,0.67878,-0.722815,-0.71806,-0.672373,0.732219,0.042589,-0.711665,0.071822,0.347864,-0.009212,-0.347864,0.009212,0.505466,1.177006,-0.513783,1.226665,0.533682,2.263642,-0.578718,2.325755,173.495276,165.040361,173.919395,175.620418
A001,bend_return,bend_return.mp4,14,0.56,1,1,0.9673,0,342.2206,252.1787,59.9365,0.023714,-2.087328,0.130437,-2.211834,-0.085559,-2.207175,0.308366,-2.208473,-0.257678,-2.200424,0.519567,-1.606561,-0.480112,-1.581201,0.692664,-0.729876,-0.70728,-0.67864,0.726482,0.054296,-0.681535,0.090664,0.348879,-0.009963,-0.348879,0.009963,0.521532,1.175678,-0.501147,1.227588,0.54643,2.263257,-0.579149,2.330313,171.300306,163.95574,173.026273,176.918279
A001,bend_return,bend_return.mp4,15,0.6,1,1,0.9688,0,341.8098,251.0135,60.4508,0.025233,-1.939155,0.128658,-2.070556,-0.09112,-2.058622,0.317209,-2.101934,-0.262573,-2.073959,0.5341,-1.53781,-0.465443,-1.507591,0.694475,-0.637958,-0.693281,-0.603536,0.687489,0.165889,-0.633245,0.189737,0.347279,-0.010572,-0.347279,0.010573,0.506247,1.167428,-0.493272,1.224053,0.539116,2.245963,-0.551363,2.337632,169.396646,161.527101,174.0601,176.125963
A001,bend_return,bend_return.mp4,16,0.64,1,1,0.9681,0,341.118,251.7671,60.8661,0.019466,-1.812747,0.122061,-1.940426,-0.090854,-1.932222,0.33074,-1.991753,-0.23344,-1.966308,0.56338,-1.464631,-0.436244,-1.437237,0.700865,-0.581609,-0.688346,-0.544371,0.679861,0.202981,-0.596235,0.256957,0.347154,-0.009481,-0.347154,0.00948,0.50917,1.140537,-0.491742,1.194215,0.558138,2.225512,-0.525219,2.316924,169.616756,157.675737,174.565089,174.7498
A001,bend_return,bend_return.mp4,17,0.68,1,1,0.9684,0,340.0597,250.501,59.9197,0.047653,-1.658508,0.148268,-1.791955,-0.069917,-1.782622,0.358916,-1.873001,-0.225543,-1.842349,0.58498,-1.388505,-0.414752,-1.365346,0.737617,-0.483622,-0.657195,-0.458662,0.682711,0.294231,-0.551759,0.351635,0.347554,-0.007826,-0.347554,0.007826,0.514715,1.147272,-0.488906,1.196054,0.589133,2.283065,-0.513289,2.378,166.387753,157.61598,175.514237,174.397899
A001,bend_return,bend_return.mp4,18,0.72,1,1,0.9673,0,339.0954,249.2269,60.1111,0.050106,-1.549361,0.153851,-1.680803,-0.067105,-1.676432,0.381499,-1.778028,-0.210494,-1.75263,0.611223,-1.329263,-0.388484,-1.305055,0.757462,-0.420009,-0.624864,-0.384804,0.689072,0.353126,-0.515858,0.41918,0.347645,-0.007066,-0.347645,0.007066,0.522218,1.143199,-0.478048,1.190087,0.608681,2.293242,-0.486604,2.379771,165.807979,157.872929,175.669754,174.121867
