action_id,action_label,source,frame_id,time_sec,pose_ok,feature_ok,mean_keypoint_conf,low_keypoint_count,hip_center_x,hip_center_y,shoulder_width,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,left_elbow_angle,right_elbow_angle,left_knee_angle,right_knee_angle
A004,drink_return,drink_return.mp4,0,0.0,1,1,0.9722,0,340.8359,252.136,55.5748,0.027456,-2.517307,0.13799,-2.627865,-0.08907,-2.623842,0.296925,-2.525212,-0.27063,-2.513993,0.499977,-1.771562,-0.499514,-1.739654,0.708713,-0.878242,-0.763019,-0.818701,0.812645,-0.096287,-0.844189,-0.05258,0.339119,-0.009851,-0.339119,0.009851,0.455817,1.307368,-0.47066,1.35305,0.499202,2.506672,-0.517871,2.563446,174.419104,170.08097,177.008926,176.64048
A004,drink_return,drink_return.mp4,1,0.04,1,1,0.9724,0,340.6806,251.9957,55.5259,0.029129,-2.517293,0.140306,-2.62836,-0.087412,-2.624582,0.300401,-2.526527,-0.268595,-2.515901,0.502715,-1.771474,-0.496805,-1.740503,0.713236,-0.874634,-0.760578,-0.81373,0.814996,-0.091722,-0.841935,-0.038226,0.339054,-0.009465,-0.339054,0.009465,0.456216,1.309089,-0.469853,1.352806,0.502701,2.512584,-0.515056,2.567747,174.195387,170.10167,177.134265,176.56949
A004,drink_return,drink_return.mp4,2,0.08,1,1,0.9722,0,340.6815,251.4569,55.2868,0.032689,-2.517176,0.142843,-2.629828,-0.08474,-2.624826,0.301172,-2.530548,-0.268005,-2.51753,0.503742,-1.774505,-0.495774,-1.743385,0.71704,-0.870204,-0.761017,-0.812719,0.816624,-0.082242,-0.845404,-0.033258,0.338855,-0.009523,-0.338855,0.009523,0.455507,1.318048,-0.468211,1.36264,0.503175,2.537574,-0.514459,2.59626,173.931077,170.27124,177.216948,176.686129
A004,drink_return,drink_return.mp4,3,0.12,1,1,0.9721,0,340.6956,251.5923,55.341,0.030696,-2.51728,0.14097,-2.629787,-0.086461,-2.624888,0.299975,-2.530521,-0.268976,-2.517653,0.503372,-1.7747,-0.496139,-1.743418,0.717164,-0.871014,-0.760394,-0.812368,0.814797,-0.081532,-0.845139,-0.029132,0.33886,-0.009462,-0.338861,0.009462,0.454306,1.318965,-0.468543,1.363029,0.503294,2.534422,-0.512606,2.592217,173.739597,170.330023,177.341336,176.580293
A004,drink_return,drink_return.mp4,4,0.16,1,1,0.9723,0,340.8236,251.5542,55.142,0.027699,-2.524535,0.137783,-2.638189,-0.090086,-2.632336,0.297779,-2.540965,-0.272246,-2.526021,0.502423,-1.783412,-0.497068,-1.75149,0.714659,-0.87542,-0.764663,-0.81948,0.813493,-0.081014,-0.85228,-0.033213,0.338994,-0.009636,-0.338994,0.009636,0.454905,1.323409,-0.470425,1.36863,0.503126,2.543566,-0.519423,2.604634,173.935601,170.338892,177.293686,176.746164
A004,drink_return,drink_return.mp4,5,0.2,1,1,0.9725,0,340.9499,251.4357,55.2985,0.025059,-2.515545,0.135003,-2.628669,-0.092108,-2.622913,0.295035,-2.531448,-0.273135,-2.516837,0.50126,-1.776045,-0.498267,-1.745289,0.713265,-0.867649,-0.766602,-0.815046,0.80837,-0.07497,-0.851265,-0.030914,0.33876,-0.009249,-0.33876,0.009249,0.450495,1.320279,-0.472119,1.364023,0.497504,2.538003,-0.519628,2.597289,173.704712,170.071854,177.407009,176.584074
A004,drink_return,drink_return.mp4,6,0.24,1,1,0.9725,0,340.906,251.1333,55.1852,0.021434,-2.516941,0.1322,-2.630199,-0.095837,-2.624029,0.29496,-2.532099,-0.274041,-2.516178,0.503182,-1.775651,-0.496334,-1.744546,0.714228,-0.868606,-0.769123,-0.81751,0.812218,-0.073211,-0.861425,-0.027447,0.338761,-0.009218,-0.338761,0.009218,0.45283,1.320369,-0.472241,1.364234,0.50088,2.541709,-0.521759,2.602935,173.925136,170.266573,177.349521,176.663402
A004,drink_return,drink_return.mp4,7,0.28,1,1,0.9724,0,340.8292,251.4028,55.2276,0.022899,-2.518959,0.134221,-2.631727,-0.094058,-2.626868,0.296308,-2.532565,-0.273622,-2.519627,0.501888,-1.776432,-0.497612,-1.744817,0.713548,-0.872943,-0.767844,-0.814487,0.814774,-0.079934,-0.862747,-0.023588,0.339135,-0.009355,-0.339135,0.009355,0.455061,1.323129,-0.473953,1.366672,0.502343,2.541855,-0.525316,2.599495,174.08961,170.645457,177.249492,176.713358
A004,drink_return,drink_return.mp4,8,0.32,1,1,0.9723,0,340.9452,251.3949,55.1712,0.017723,-2.521552,0.129689,-2.634509,-0.098801,-2.62954,0.294441,-2.536027,-0.275343,-2.522814,0.502148,-1.77984,-0.497375,-1.748951,0.712228,-0.878671,-0.771608,-0.824715,0.811499,-0.085287,-0.869223,-0.035902,0.339105,-0.009055,-0.339105,0.009055,0.453355,1.324883,-0.474934,1.367683,0.499696,2.542783,-0.52753,2.599905,174.009592,170.528046,177.283651,176.734992
A004,drink_return,drink_return.mp4,9,0.36,1,1,0.9724,0,341.0212,251.3568,55.1937,0.016509,-2.520283,0.12852,-2.633039,-0.10026,-2.627896,0.293226,-2.533586,-0.276711,-2.519622,0.500976,-1.777629,-0.498466,-1.744214,0.710629,-0.877816,-0.773219,-0.818353,0.810524,-0.08379,-0.871416,-0.029949,0.339096,-0.009486,-0.339096,0.009486,0.451614,1.322129,-0.478382,1.365987,0.498758,2.539361,-0.530964,2.596845,174.054855,170.571204,177.388205,176.583501
A004,drink_return,drink_return.mp4,10,0.4,1,1,0.9726,0,341.0689,251.3316,55.0573,0.01426,-2.526252,0.126976,-2.639315,-0.102572,-2.634299,0.293358,-2.539533,-0.277919,-2.525769,0.502182,-1.781571,-0.497288,-1.749038,0.712734,-0.878525,-0.77132,-0.822844,0.812403,-0.082017,-0.874141,-0.034887,0.339217,-0.009101,-0.339217,0.009101,0.452105,1.326928,-0.479109,1.369921,0.499992,2.549373,-0.532788,2.605906,174.007988,170.952693,177.413509,176.617365
A004,drink_return,drink_return.mp4,11,0.44,1,1,0.9728,0,341.0523,251.2475,55.0591,0.012619,-2.52401,0.12526,-2.638014,-0.104508,-2.631923,0.292822,-2.540789,-0.278628,-2.524493,0.503145,-1.784593,-0.496238,-1.749473,0.714017,-0.881757,-0.77047,-0.82011,0.813121,-0.087168,-0.87536,-0.024503,0.339148,-0.009451,-0.339148,0.009451,0.451466,1.327379,-0.479652,1.371015,0.500427,2.551239,-0.532587,2.61084,173.962783,171.070402,177.488298,176.553206
