action_id,action_label,source,frame_id,time_sec,pose_ok,feature_ok,mean_keypoint_conf,low_keypoint_count,hip_center_x,hip_center_y,shoulder_width,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,left_elbow_angle,right_elbow_angle,left_knee_angle,right_knee_angle
A002,leg_raise_lower,leg_raise_lower.mp4,0,0.0,1,1,0.9784,0,346.3769,250.1757,59.8336,-0.013748,-2.35973,0.08899,-2.45858,-0.124009,-2.461392,0.229139,-2.354741,-0.298521,-2.3542,0.461307,-1.645445,-0.538345,-1.619032,0.680568,-0.808362,-0.716285,-0.756017,0.777401,-0.082269,-0.750521,0.003373,0.331468,-0.004656,-0.331467,0.004656,0.377463,1.235073,-0.440282,1.255833,0.363743,2.375168,-0.40103,2.404831,172.918252,170.931131,177.185823,173.073037
A002,leg_raise_lower,leg_raise_lower.mp4,1,0.04,1,1,0.9786,0,346.4711,250.2061,59.8796,-0.016727,-2.357268,0.085528,-2.456713,-0.126691,-2.458871,0.227038,-2.355212,-0.299805,-2.353136,0.460437,-1.6445,-0.539118,-1.614663,0.680857,-0.806175,-0.717934,-0.748936,0.781121,-0.074591,-0.751436,0.005771,0.331257,-0.005376,-0.331257,0.005376,0.375831,1.232441,-0.440843,1.255922,0.360181,2.362144,-0.402336,2.393111,173.072499,170.871354,177.143844,173.052594
A002,leg_raise_lower,leg_raise_lower.mp4,2,0.08,1,1,0.9783,0,346.5304,250.2633,59.8805,-0.015626,-2.36047,0.086328,-2.459112,-0.125832,-2.461495,0.225744,-2.355585,-0.300608,-2.354228,0.45951,-1.64612,-0.540134,-1.619414,0.680689,-0.810351,-0.717075,-0.761425,0.77779,-0.07502,-0.752562,-0.001899,0.331623,-0.004646,-0.331623,0.004645,0.377214,1.235488,-0.442878,1.256739,0.362237,2.364818,-0.40606,2.394583,172.699427,171.022544,177.13488,173.068932
A002,leg_raise_lower,leg_raise_lower.mp4,3,0.12,1,1,0.9784,0,346.4035,250.4789,59.8554,-0.013457,-2.3633,0.0881,-2.46236,-0.123556,-2.464305,0.228105,-2.359842,-0.297658,-2.357525,0.462962,-1.647984,-0.536724,-1.622921,0.684547,-0.809052,-0.713651,-0.765502,0.781928,-0.076853,-0.750707,-0.007998,0.331585,-0.004336,-0.331585,0.004336,0.379453,1.234061,-0.440206,1.255041,0.365098,2.364244,-0.403043,2.395792,172.780173,171.141262,177.058754,173.170505
A002,leg_raise_lower,leg_raise_lower.mp4,4,0.16,1,1,0.9782,0,346.3271,250.3016,59.8781,-0.01195,-2.359761,0.088775,-2.459325,-0.122205,-2.460531,0.227929,-2.357867,-0.296923,-2.353914,0.462878,-1.647059,-0.536742,-1.61947,0.683449,-0.804388,-0.715068,-0.75634,0.782717,-0.07161,-0.751683,-0.002995,0.331636,-0.005105,-0.331636,0.005105,0.381888,1.231116,-0.439078,1.255241,0.365851,2.363386,-0.405678,2.398432,173.046498,171.109319,176.860941,173.414323
A002,leg_raise_lower,leg_raise_lower.mp4,5,0.2,1,1,0.9783,0,346.4406,250.5334,59.971,-0.0144,-2.360798,0.086725,-2.459758,-0.124509,-2.461521,0.226385,-2.357206,-0.298765,-2.354353,0.461865,-1.646118,-0.537775,-1.619303,0.684751,-0.809084,-0.71392,-0.76375,0.782279,-0.075855,-0.748853,-0.015037,0.331572,-0.004758,-0.331571,0.004758,0.379354,1.231779,-0.440127,1.254492,0.36354,2.359798,-0.404441,2.391588,172.66575,171.037547,176.983834,173.237924
A002,leg_raise_lower,leg_raise_lower.mp4,6,0.24,1,1,0.9784,0,346.4625,250.5462,60.0275,-0.015031,-2.359979,0.086034,-2.45904,-0.125038,-2.460329,0.22627,-2.356694,-0.298133,-2.352713,0.463173,-1.645559,-0.536456,-1.618341,0.686452,-0.806423,-0.71153,-0.761763,0.780248,-0.076376,-0.746553,-0.014117,0.331511,-0.004639,-0.331511,0.004639,0.377514,1.231211,-0.441688,1.253374,0.362667,2.357261,-0.404239,2.38933,172.42112,171.130623,177.112828,173.069611
A002,leg_raise_lower,leg_raise_lower.mp4,7,0.28,1,1,0.9784,0,346.5392,250.3281,59.9229,-0.014291,-2.35902,0.086353,-2.458149,-0.124312,-2.459619,0.225869,-2.356111,-0.2986,-2.352322,0.461447,-1.644747,-0.538083,-1.614097,0.683849,-0.804823,-0.710498,-0.750094,0.781036,-0.074995,-0.747138,-0.00542,0.331518,-0.005516,-0.331517,0.005516,0.37808,1.229838,-0.441578,1.254835,0.361533,2.357716,-0.404325,2.390359,172.75416,171.531486,177.000952,173.086358
A002,leg_raise_lower,leg_raise_lower.mp4,8,0.32,1,1,0.9779,0,346.5839,250.4204,60.1114,-0.013778,-2.353315,0.086381,-2.45214,-0.123455,-2.453661,0.224342,-2.350194,-0.298599,-2.347016,0.460949,-1.641688,-0.538663,-1.613811,0.685983,-0.80442,-0.708968,-0.756442,0.778828,-0.079685,-0.743996,-0.015665,0.33164,-0.004911,-0.331639,0.004911,0.37739,1.224149,-0.443044,1.247237,0.361552,2.351355,-0.40489,2.382565,172.256278,171.472371,177.063483,172.950958
A002,leg_raise_lower,leg_raise_lower.mp4,9,0.36,1,1,0.9781,0,347.0718,249.9563,59.9942,-0.020903,-2.350022,0.078341,-2.448585,-0.130078,-2.449672,0.216453,-2.346311,-0.30334,-2.34188,0.456696,-1.636403,-0.542856,-1.606483,0.681479,-0.79872,-0.713231,-0.747956,0.776104,-0.071273,-0.744605,-0.008467,0.331453,-0.005126,-0.331453,0.005126,0.368502,1.227622,-0.451709,1.25162,0.350771,2.356399,-0.413614,2.388071,172.390575,171.204823,177.378705,172.569456
