action_id,action_label,source,frame_id,time_sec,pose_ok,feature_ok,mean_keypoint_conf,low_keypoint_count,hip_center_x,hip_center_y,shoulder_width,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,left_elbow_angle,right_elbow_angle,left_knee_angle,right_knee_angle
A005,sit_stand,sit_stand.mp4,0,0.0,1,1,0.9718,0,318.0677,286.0428,57.6104,0.004063,-1.783323,0.104311,-1.880183,-0.085227,-1.896005,0.239903,-1.816088,-0.251826,-1.848915,0.461494,-1.229898,-0.538481,-1.23705,0.677759,-0.423398,-0.732407,-0.438057,0.908119,0.25093,-0.927133,0.229729,0.345971,-0.003167,-0.34597,0.003167,0.56987,0.478341,-0.568617,0.502871,0.657124,1.530158,-0.447538,1.544891,176.149996,177.386182,159.803886,149.356521
A005,sit_stand,sit_stand.mp4,1,0.04,1,1,0.972,0,317.9677,285.4273,57.5117,0.006619,-1.776477,0.106684,-1.873819,-0.083126,-1.88897,0.242588,-1.810579,-0.24997,-1.841432,0.46334,-1.224462,-0.536654,-1.227923,0.679055,-0.41768,-0.732544,-0.425537,0.911537,0.260041,-0.93081,0.244305,0.345934,-0.003985,-0.345934,0.003985,0.571002,0.480546,-0.568599,0.507898,0.661468,1.533992,-0.445885,1.551902,176.035576,177.231192,159.993111,149.456819
A005,sit_stand,sit_stand.mp4,2,0.08,1,1,0.9719,0,318.0097,285.835,57.5975,0.005611,-1.780321,0.105902,-1.87771,-0.083816,-1.893031,0.242749,-1.815489,-0.249824,-1.84698,0.463961,-1.229492,-0.536024,-1.23496,0.677375,-0.425231,-0.731448,-0.436113,0.908614,0.250575,-0.927786,0.23882,0.345901,-0.003534,-0.345902,0.003534,0.568923,0.479818,-0.568632,0.505721,0.65482,1.527191,-0.448102,1.54465,175.97197,177.526699,159.919465,149.464158
A005,sit_stand,sit_stand.mp4,3,0.12,1,1,0.9722,0,318.0698,285.7171,57.5387,0.004065,-1.780673,0.105089,-1.878434,-0.0859,-1.893773,0.243283,-1.815657,-0.251218,-1.846787,0.464677,-1.229746,-0.535309,-1.235059,0.677847,-0.424461,-0.735618,-0.434896,0.907381,0.25053,-0.934086,0.241602,0.345747,-0.003517,-0.345747,0.003518,0.569029,0.474506,-0.568448,0.499979,0.65597,1.538233,-0.449601,1.555614,176.046062,177.703987,159.635463,149.416596
A005,sit_stand,sit_stand.mp4,4,0.16,1,1,0.9722,0,318.2329,285.7292,57.5301,0.001674,-1.780427,0.102471,-1.878571,-0.088393,-1.893646,0.240545,-1.816473,-0.253753,-1.846993,0.462562,-1.230436,-0.537432,-1.233768,0.676435,-0.42413,-0.737195,-0.430777,0.905812,0.250642,-0.934137,0.24229,0.345554,-0.003972,-0.345554,0.003972,0.567122,0.472547,-0.567926,0.499362,0.652819,1.538061,-0.448414,1.555992,176.081084,177.66033,159.6612,149.372385
A005,sit_stand,sit_stand.mp4,5,0.2,1,1,0.9726,0,317.7183,285.6841,57.3209,0.007121,-1.787879,0.108789,-1.887027,-0.08359,-1.900857,0.251693,-1.825567,-0.244496,-1.852575,0.474133,-1.235686,-0.525866,-1.23701,0.683727,-0.427403,-0.734783,-0.431753,0.92147,0.248526,-0.931947,0.242744,0.345617,-0.004473,-0.345617,0.004473,0.578041,0.478632,-0.559656,0.508537,0.658359,1.542371,-0.452704,1.567751,175.158876,178.249893,158.625533,151.226896
A005,sit_stand,sit_stand.mp4,6,0.24,1,1,0.9748,0,318.7157,285.2951,58.041,-0.003218,-1.765274,0.093662,-1.861371,-0.095752,-1.870461,0.230194,-1.797829,-0.251294,-1.810541,0.466484,-1.209909,-0.533508,-1.205859,0.661143,-0.432743,-0.734099,-0.425467,0.92026,0.23294,-0.919054,0.252471,0.343222,-0.002174,-0.343221,0.002174,0.509246,0.480246,-0.589398,0.50744,0.603105,1.485152,-0.43523,1.532019,172.793283,179.155354,166.345171,145.466514
A005,sit_stand,sit_stand.mp4,7,0.28,1,1,0.9752,0,318.6189,285.2098,58.0134,-0.011853,-1.771628,0.090134,-1.865832,-0.103444,-1.877487,0.23612,-1.79517,-0.251938,-1.812766,0.470991,-1.204923,-0.529006,-1.202421,0.663259,-0.432447,-0.734933,-0.421918,0.922222,0.230034,-0.918765,0.25782,0.343065,-0.001324,-0.343065,0.001325,0.507258,0.494977,-0.588317,0.517642,0.598035,1.497469,-0.441228,1.534324,172.626316,179.646676,166.868092,146.359948
A005,sit_stand,sit_stand.mp4,8,0.32,1,1,0.9734,0,317.2721,285.4517,57.4069,0.007415,-1.79767,0.113914,-1.89345,-0.08451,-1.908373,0.264524,-1.820408,-0.241121,-1.847323,0.484096,-1.224418,-0.515904,-1.224049,0.692186,-0.429596,-0.725294,-0.429884,0.925195,0.237582,-0.923214,0.245521,0.34452,-0.003615,-0.34452,0.003615,0.553376,0.508417,-0.567411,0.533843,0.644006,1.540309,-0.444901,1.559693,175.419649,178.437773,162.828891,150.389477
A005,sit_stand,sit_stand.mp4,9,0.36,1,1,0.9738,0,317.4724,285.2833,57.3061,0.000806,-1.800039,0.10754,-1.896129,-0.091821,-1.910679,0.258472,-1.822935,-0.248609,-1.848665,0.478717,-1.226665,-0.521277,-1.223248,0.686486,-0.434976,-0.730424,-0.429782,0.924816,0.236846,-0.928815,0.250769,0.34454,-0.004139,-0.34454,0.004139,0.544206,0.511024,-0.578558,0.537873,0.638471,1.54596,-0.452158,1.566804,175.172735,178.514174,164.019016,149.32127
