action_id,action_label,source,frame_id,time_sec,pose_ok,feature_ok,mean_keypoint_conf,low_keypoint_count,hip_center_x,hip_center_y,shoulder_width,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,left_elbow_angle,right_elbow_angle,left_knee_angle,right_knee_angle
A003,walk_turn_walk,walk_turn_walk.mp4,0,0.0,1,1,0.9688,0,471.5932,248.3038,56.7785,0.143359,-2.413332,0.233154,-2.509629,0.028021,-2.510547,0.331187,-2.407506,-0.202664,-2.413629,0.498137,-1.67643,-0.50184,-1.683228,0.66343,-0.79819,-0.780354,-0.799239,0.799122,-0.030193,-0.747475,-0.038025,0.328626,-0.003617,-0.328626,0.003617,0.328113,1.199502,-0.466439,1.234527,0.214796,2.270535,-0.534844,2.327538,179.361116,160.038917,173.984903,177.192787
A003,walk_turn_walk,walk_turn_walk.mp4,1,0.04,1,1,0.9691,0,471.7618,248.4945,56.9015,0.141133,-2.411145,0.230473,-2.508092,0.025341,-2.507977,0.329031,-2.407498,-0.20478,-2.41093,0.497093,-1.677932,-0.502896,-1.682557,0.661374,-0.801229,-0.782476,-0.80196,0.788422,-0.033652,-0.74798,-0.042134,0.328506,-0.004077,-0.328505,0.004077,0.325222,1.200319,-0.46647,1.236488,0.216316,2.267777,-0.530587,2.326703,178.785013,159.786453,174.330815,176.978322
A003,walk_turn_walk,walk_turn_walk.mp4,2,0.08,1,1,0.9692,0,471.7222,248.3093,56.9418,0.144052,-2.406169,0.234043,-2.501992,0.028515,-2.502811,0.332864,-2.399575,-0.201953,-2.405109,0.500007,-1.670361,-0.499968,-1.677537,0.665332,-0.795831,-0.777969,-0.798599,0.79309,-0.027773,-0.743455,-0.034528,0.328369,-0.003323,-0.328369,0.003323,0.326943,1.197565,-0.463157,1.231044,0.213777,2.263225,-0.529603,2.318889,178.739015,159.861785,174.006386,177.230132
A003,walk_turn_walk,walk_turn_walk.mp4,3,0.12,1,1,0.9692,0,471.64,248.5941,57.0417,0.148529,-2.407649,0.237442,-2.504256,0.032156,-2.503584,0.335368,-2.403356,-0.199632,-2.405479,0.503573,-1.673613,-0.4964,-1.680993,0.668053,-0.794244,-0.774172,-0.801835,0.79018,-0.029606,-0.74026,-0.039859,0.328311,-0.003163,-0.328311,0.003162,0.324914,1.198857,-0.463848,1.232797,0.213354,2.264832,-0.529926,2.325044,178.480187,159.917596,174.187424,177.171945
A003,walk_turn_walk,walk_turn_walk.mp4,4,0.16,1,1,0.9693,0,471.8278,248.5099,56.9317,0.149101,-2.410568,0.237767,-2.507503,0.033452,-2.5069,0.335695,-2.406434,-0.196187,-2.408562,0.504587,-1.676763,-0.495397,-1.682438,0.664511,-0.797231,-0.776677,-0.800571,0.790681,-0.031183,-0.744974,-0.03897,0.328751,-0.003729,-0.32875,0.003729,0.328902,1.204309,-0.467042,1.240912,0.217817,2.289019,-0.5367,2.351725,179.047556,159.925812,174.145591,177.210414
A003,walk_turn_walk,walk_turn_walk.mp4,5,0.2,1,1,0.9691,0,471.9166,248.6295,57.2225,0.152187,-2.400039,0.240952,-2.496346,0.037395,-2.496314,0.338689,-2.395466,-0.191782,-2.399364,0.50834,-1.668068,-0.49161,-1.678103,0.6707,-0.788563,-0.772095,-0.801343,0.792778,-0.028493,-0.741835,-0.044534,0.328441,-0.002531,-0.328441,0.002531,0.326024,1.199415,-0.465258,1.232476,0.210329,2.276166,-0.535368,2.335434,178.665138,159.970365,173.982427,177.289639
A003,walk_turn_walk,walk_turn_walk.mp4,6,0.24,1,1,0.9675,0,472.1961,246.8169,58.7195,0.147996,-2.287514,0.230683,-2.383926,0.034255,-2.391432,0.324683,-2.298049,-0.194564,-2.311358,0.509248,-1.617262,-0.490745,-1.620975,0.668757,-0.76289,-0.762659,-0.736724,0.805422,-0.050513,-0.730938,-0.006135,0.330257,-0.004795,-0.330257,0.004795,0.34374,1.185281,-0.463001,1.224963,0.199697,2.295851,-0.534287,2.3561,179.715381,160.420826,171.960802,177.397289
A003,walk_turn_walk,walk_turn_walk.mp4,7,0.28,1,1,0.9679,0,472.4172,246.6354,58.6083,0.145732,-2.289599,0.229754,-2.385429,0.032101,-2.393663,0.32619,-2.297354,-0.194183,-2.311796,0.510901,-1.614737,-0.489086,-1.61968,0.669928,-0.761844,-0.766217,-0.737201,0.801825,-0.05531,-0.73517,-0.006336,0.330134,-0.004103,-0.330135,0.004103,0.338586,1.18912,-0.468498,1.225326,0.198908,2.302973,-0.538032,2.358902,180.0,160.133387,172.446538,177.046069
A003,walk_turn_walk,walk_turn_walk.mp4,8,0.32,1,1,0.9675,0,473.1432,246.576,58.3114,0.143463,-2.29872,0.224563,-2.395789,0.027107,-2.40038,0.317726,-2.309083,-0.202546,-2.314926,0.506673,-1.629805,-0.493319,-1.625731,0.675224,-0.780371,-0.778311,-0.747788,0.800597,-0.05576,-0.753375,-0.012425,0.329914,-0.005639,-0.329913,0.005639,0.339147,1.192192,-0.469351,1.232818,0.195039,2.312749,-0.556157,2.374916,178.593052,160.07372,172.23009,177.864116
A003,walk_turn_walk,walk_turn_walk.mp4,9,0.36,1,1,0.9701,0,473.5021,247.1593,58.7817,0.134861,-2.289737,0.220884,-2.385893,0.021758,-2.391677,0.328522,-2.297824,-0.189965,-2.305578,0.525138,-1.614433,-0.474834,-1.621916,0.678244,-0.766141,-0.774117,-0.76243,0.803435,-0.047913,-0.750971,-0.032139,0.330058,-0.002296,-0.330057,0.002296,0.340127,1.176944,-0.472759,1.209561,0.194292,2.279022,-0.561063,2.338855,179.656219,158.985934,171.972703,177.72979
A003,walk_turn_walk,walk_turn_walk.mp4,10,0.4,1,1,0.9696,0,474.4878,246.9885,58.5955,0.135352,-2.288363,0.223718,-2.384147,0.021425,-2.392255,0.331278,-2.293576,-0.19318,-2.306531,0.52319,-1.61227,-0.476769,-1.62137,0.673865,-0.765103,-0.776608,-0.758134,0.792409,-0.055572,-0.762648,-0.026921,0.330214,-0.001381,-0.330213,0.001381,0.33427,1.184804,-0.479028,1.212618,0.182581,2.298217,-0.573432,2.349167,179.400295,159.751986,172.045987,177.743887
