action_id,action_label,source,frame_id,time_sec,pose_ok,feature_ok,mean_keypoint_conf,low_keypoint_count,hip_center_x,hip_center_y,shoulder_width,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,left_elbow_angle,right_elbow_angle,left_knee_angle,right_knee_angle
A006,wave,wave.mp4,0,0.0,1,1,0.9739,0,344.3184,247.7316,55.8422,-0.014652,-2.368621,0.098228,-2.476758,-0.127203,-2.477766,0.263106,-2.391635,-0.303318,-2.390113,0.48002,-1.678154,-0.519629,-1.651626,0.690949,-0.810717,-0.738206,-0.77768,0.773122,-0.048625,-0.882123,-0.031325,0.334134,-0.005765,-0.334135,0.005765,0.397275,1.26776,-0.462369,1.297566,0.402468,2.392574,-0.430788,2.422271,172.487175,176.872312,177.426102,172.722549
A006,wave,wave.mp4,1,0.04,1,1,0.9732,0,344.4557,246.275,57.565,-0.01792,-2.280712,0.089038,-2.387237,-0.131817,-2.381535,0.246746,-2.308097,-0.290437,-2.294187,0.490086,-1.601565,-0.509888,-1.59432,0.703743,-0.738823,-0.713949,-0.740007,0.759219,0.003281,-0.869008,0.02543,0.333093,0.00038,-0.333094,-0.00038,0.414752,1.24754,-0.452406,1.261739,0.378149,2.323153,-0.403936,2.375351,170.365831,178.017912,174.304877,172.107502
A006,wave,wave.mp4,2,0.08,1,1,0.973,0,344.678,246.1144,57.2439,-0.017031,-2.292625,0.088686,-2.398583,-0.130802,-2.393191,0.241925,-2.317995,-0.292816,-2.305769,0.486697,-1.608042,-0.513302,-1.609397,0.704101,-0.741839,-0.721452,-0.767393,0.759876,0.005764,-0.894233,-0.0087,0.333001,0.002184,-0.333002,-0.002185,0.410974,1.258985,-0.456182,1.269302,0.370557,2.335439,-0.413056,2.385025,170.17731,178.944082,174.299648,172.25301
A006,wave,wave.mp4,3,0.12,1,1,0.9784,0,344.9551,247.7548,57.0796,-0.027864,-2.321097,0.082008,-2.428899,-0.138199,-2.42818,0.24347,-2.347153,-0.298494,-2.340854,0.479302,-1.62914,-0.520565,-1.612814,0.673996,-0.762028,-0.74492,-0.77292,0.759401,-0.031502,-0.920647,-0.039381,0.330824,-3.7e-05,-0.330824,3.7e-05,0.381952,1.25124,-0.454205,1.263701,0.361777,2.345921,-0.423151,2.377895,174.013258,178.516283,176.604194,172.826927
A006,wave,wave.mp4,4,0.16,1,1,0.9785,0,345.243,247.9586,56.8151,-0.029083,-2.33561,0.080169,-2.443448,-0.140173,-2.442816,0.239292,-2.360079,-0.303694,-2.353203,0.47275,-1.640267,-0.526952,-1.615853,0.672398,-0.774176,-0.76378,-0.766532,0.760913,-0.043516,-0.967681,-0.046319,0.330474,-0.001607,-0.330474,0.001607,0.377436,1.254245,-0.459642,1.270731,0.360884,2.353045,-0.432234,2.382779,173.926556,179.773581,176.995605,172.776723
A006,wave,wave.mp4,5,0.2,1,1,0.9785,0,345.2396,248.0222,56.4637,-0.027151,-2.351899,0.08303,-2.460695,-0.13924,-2.460456,0.242385,-2.376676,-0.304096,-2.370618,0.473839,-1.651321,-0.525889,-1.627985,0.673926,-0.778339,-0.768427,-0.777163,0.767501,-0.048473,-1.001213,-0.072787,0.330539,-0.00118,-0.330538,0.00118,0.380079,1.263389,-0.461452,1.279933,0.36417,2.370058,-0.437684,2.398701,174.396744,177.622901,176.932924,172.937641
A006,wave,wave.mp4,6,0.24,1,1,0.9787,0,345.2552,247.9429,56.2742,-0.026176,-2.359215,0.084077,-2.46861,-0.138941,-2.468262,0.243597,-2.384459,-0.304,-2.377999,0.475207,-1.655479,-0.524533,-1.632693,0.674315,-0.783385,-0.772941,-0.788866,0.772787,-0.05255,-1.02141,-0.098571,0.330678,-0.000926,-0.330679,0.000926,0.381512,1.269897,-0.463937,1.287501,0.360909,2.381706,-0.448024,2.411631,174.812991,176.607309,176.647772,173.275617
A006,wave,wave.mp4,7,0.28,1,1,0.9743,0,345.3337,246.6779,55.8648,-0.021885,-2.360148,0.087493,-2.469513,-0.137248,-2.466357,0.246172,-2.383328,-0.296055,-2.375147,0.489371,-1.647418,-0.510624,-1.650347,0.708567,-0.756097,-0.777595,-0.789012,0.787282,-0.021663,-1.078692,-0.08676,0.333155,0.003449,-0.333154,-0.003449,0.409347,1.295643,-0.484177,1.306711,0.371748,2.410823,-0.471255,2.454858,172.30127,174.013192,174.694445,172.779684
A006,wave,wave.mp4,8,0.32,1,1,0.9741,0,345.3501,246.2728,56.1374,-0.020984,-2.3443,0.088046,-2.454015,-0.135758,-2.450413,0.247604,-2.368263,-0.291563,-2.358772,0.491207,-1.632597,-0.508792,-1.634305,0.701919,-0.740285,-0.800423,-0.773954,0.783855,-0.010135,-1.124543,-0.076976,0.332093,0.003119,-0.332093,-0.003119,0.407651,1.296318,-0.480308,1.309416,0.364855,2.411801,-0.472223,2.459785,173.116326,173.784826,174.459068,173.154642
A006,wave,wave.mp4,9,0.36,1,1,0.9744,0,345.4052,246.0842,55.4512,-0.020568,-2.371754,0.089364,-2.483036,-0.136677,-2.478292,0.251492,-2.395508,-0.291629,-2.38306,0.493519,-1.650769,-0.506481,-1.650814,0.702285,-0.75714,-0.826871,-0.794379,0.78489,-0.010275,-1.176164,-0.098297,0.331681,0.002763,-0.331681,-0.002763,0.409184,1.312359,-0.478379,1.327934,0.373166,2.443627,-0.480144,2.495091,173.162125,173.863265,174.78951,173.795686
