subject,action_id,take,video_path,open_ok,read_ok,fps,frames,width,height,duration_sec
S01,A001,T01,data/day05/videos/S01/S01_A001_T01.mp4,1,1,25.0,85,640,480,3.4
S01,A002,T01,data/day05/videos/S01/S01_A002_T01.mp4,1,1,25.0,125,640,480,5.0
S01,A003,T01,data/day05/videos/S01/S01_A003_T01.mp4,1,1,25.0,266,640,480,10.64
S01,A004,T01,data/day05/videos/S01/S01_A004_T01.mp4,1,1,25.0,120,640,480,4.8
S01,A005,T01,data/day05/videos/S01/S01_A005_T01.mp4,1,1,25.0,102,640,480,4.08
S01,A006,T01,data/day05/videos/S01/S01_A006_T01.mp4,1,1,25.0,126,640,480,5.04
S02,A001,T01,data/day05/videos/S02/S02_A001_T01.mp4,1,1,25.0,154,640,480,6.16
S02,A002,T01,data/day05/videos/S02/S02_A002_T01.mp4,1,1,25.0,116,640,480,4.64
S02,A003,T01,data/day05/videos/S02/S02_A003_T01.mp4,1,1,25.0,241,640,480,9.64
S02,A004,T01,data/day05/videos/S02/S02_A004_T01.mp4,1,1,25.0,154,640,480,6.16
S02,A005,T01,data/day05/videos/S02/S02_A005_T01.mp4,1,1,25.0,120,640,480,4.8
S02,A006,T01,data/day05/videos/S02/S02_A006_T01.mp4,1,1,25.0,94,640,480,3.76
S03,A001,T01,data/day05/videos/S03/S03_A001_T01.mp4,1,1,25.0,62,640,480,2.48
S03,A002,T01,data/day05/videos/S03/S03_A002_T01.mp4,1,1,25.0,74,640,480,2.96
S03,A003,T01,data/day05/videos/S03/S03_A003_T01.mp4,1,1,25.0,268,640,480,10.72
S03,A004,T01,data/day05/videos/S03/S03_A004_T01.mp4,1,1,25.0,135,640,480,5.4
S03,A005,T01,data/day05/videos/S03/S03_A005_T01.mp4,1,1,25.0,89,640,480,3.56
S03,A006,T01,data/day05/videos/S03/S03_A006_T01.mp4,1,1,25.0,102,640,480,4.08
