split,clip_id,subject,action_id,action_label,keypoint_csv,exists,rows
train,S01_A001_T01,S01,A001,bend_return,data/day05/keypoints/S01/bend_return/S01_A001_T01.csv,1,85
train,S01_A002_T01,S01,A002,leg_raise_lower,data/day05/keypoints/S01/leg_raise_lower/S01_A002_T01.csv,1,125
train,S01_A003_T01,S01,A003,walk_turn_walk,data/day05/keypoints/S01/walk_turn_walk/S01_A003_T01.csv,1,266
train,S01_A004_T01,S01,A004,drink_return,data/day05/keypoints/S01/drink_return/S01_A004_T01.csv,1,120
train,S01_A005_T01,S01,A005,sit_stand,data/day05/keypoints/S01/sit_stand/S01_A005_T01.csv,1,102
train,S01_A006_T01,S01,A006,wave,data/day05/keypoints/S01/wave/S01_A006_T01.csv,1,126
val,S02_A001_T01,S02,A001,bend_return,data/day05/keypoints/S02/bend_return/S02_A001_T01.csv,1,154
val,S02_A002_T01,S02,A002,leg_raise_lower,data/day05/keypoints/S02/leg_raise_lower/S02_A002_T01.csv,1,116
val,S02_A003_T01,S02,A003,walk_turn_walk,data/day05/keypoints/S02/walk_turn_walk/S02_A003_T01.csv,1,241
val,S02_A004_T01,S02,A004,drink_return,data/day05/keypoints/S02/drink_return/S02_A004_T01.csv,1,154
val,S02_A005_T01,S02,A005,sit_stand,data/day05/keypoints/S02/sit_stand/S02_A005_T01.csv,1,120
val,S02_A006_T01,S02,A006,wave,data/day05/keypoints/S02/wave/S02_A006_T01.csv,1,94
test,S03_A001_T01,S03,A001,bend_return,data/day05/keypoints/S03/bend_return/S03_A001_T01.csv,1,62
test,S03_A002_T01,S03,A002,leg_raise_lower,data/day05/keypoints/S03/leg_raise_lower/S03_A002_T01.csv,1,74
test,S03_A003_T01,S03,A003,walk_turn_walk,data/day05/keypoints/S03/walk_turn_walk/S03_A003_T01.csv,1,268
test,S03_A004_T01,S03,A004,drink_return,data/day05/keypoints/S03/drink_return/S03_A004_T01.csv,1,135
test,S03_A005_T01,S03,A005,sit_stand,data/day05/keypoints/S03/sit_stand/S03_A005_T01.csv,1,89
test,S03_A006_T01,S03,A006,wave,data/day05/keypoints/S03/wave/S03_A006_T01.csv,1,102
