frame_id,elapsed_sec,expected_label,segment_id,window_seconds,confidence_threshold,stabilization_buffer,stabilization_min_votes,keep_buffer_on_target,buffer_duration_sec,valid_feature_ratio,raw_label,threshold_label,stable_label,confidence,prediction_updated,processing_fps
0,0.0,,0,5.0,0.55,5,3,0,0.0,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,0.0
1,3.8079,,0,5.0,0.55,5,3,0,3.8079,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,12.812
2,3.8314,,0,5.0,0.55,5,3,0,3.8314,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,16.519
3,3.8511,,0,5.0,0.55,5,3,0,3.8511,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,19.927
4,3.8708,,0,5.0,0.55,5,3,0,3.8708,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,25.789
5,3.8835,,0,5.0,0.55,5,3,0,3.8835,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,31.478
6,3.9233,,0,5.0,0.55,5,3,0,3.9233,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,30.497
7,3.9422,,0,5.0,0.55,5,3,0,3.9422,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,35.782
8,3.9537,,0,5.0,0.55,5,3,0,3.9537,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,39.964
9,3.9667,,0,5.0,0.55,5,3,0,3.9667,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,45.142
10,3.9782,,0,5.0,0.55,5,3,0,3.9782,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,48.658
11,3.9899,,0,5.0,0.55,5,3,0,3.9899,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,52.335
12,4.0017,,0,5.0,0.55,5,3,0,4.0017,1.0,leg_raise_lower,UNKNOWN,UNKNOWN,0.2267,1,48.777
13,4.0617,,0,5.0,0.55,5,3,0,4.0617,1.0,leg_raise_lower,UNKNOWN,UNKNOWN,0.2267,0,52.284
14,4.0732,,0,5.0,0.55,5,3,0,4.0732,1.0,leg_raise_lower,UNKNOWN,UNKNOWN,0.2267,0,56.089
15,4.0843,,0,5.0,0.55,5,3,0,4.0843,1.0,leg_raise_lower,UNKNOWN,UNKNOWN,0.2267,0,59.069
16,4.0963,,0,5.0,0.55,5,3,0,4.0963,1.0,leg_raise_lower,UNKNOWN,UNKNOWN,0.2267,0,61.986
17,4.1071,,0,5.0,0.55,5,3,0,4.1071,1.0,leg_raise_lower,UNKNOWN,UNKNOWN,0.2267,0,64.287
18,4.1191,,0,5.0,0.55,5,3,0,4.1191,1.0,leg_raise_lower,UNKNOWN,UNKNOWN,0.2267,0,65.685
19,4.1319,,0,5.0,0.55,5,3,0,4.1319,1.0,leg_raise_lower,UNKNOWN,UNKNOWN,0.2267,0,68.185
20,4.1431,,0,5.0,0.55,5,3,0,4.1431,1.0,leg_raise_lower,UNKNOWN,UNKNOWN,0.2267,0,69.92
21,4.1546,,0,5.0,0.55,5,3,0,4.1546,1.0,leg_raise_lower,UNKNOWN,UNKNOWN,0.2267,0,70.91
22,4.1672,,0,5.0,0.55,5,3,0,4.1672,1.0,leg_raise_lower,UNKNOWN,UNKNOWN,0.2267,0,72.48
23,4.1789,,0,5.0,0.55,5,3,0,4.1789,1.0,leg_raise_lower,UNKNOWN,UNKNOWN,0.2267,0,73.723
24,4.1903,,0,5.0,0.55,5,3,0,4.1903,1.0,leg_raise_lower,UNKNOWN,UNKNOWN,0.2267,0,75.298
