frame_id,video_time_sec,expected_label,window_seconds,confidence_threshold,stabilization_buffer,stabilization_min_votes,buffer_duration_sec,valid_feature_ratio,raw_label,threshold_label,stable_label,confidence,prediction_updated,processing_fps,frame_processing_sec
0,0.0,walk_turn_walk,5.0,0.55,7,4,0.0,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,0.0,1.28042
1,0.04,walk_turn_walk,5.0,0.55,7,4,0.04,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,84.203,0.01019
2,0.08,walk_turn_walk,5.0,0.55,7,4,0.08,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,86.364,0.00884
3,0.12,walk_turn_walk,5.0,0.55,7,4,0.12,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,89.003,0.00854
4,0.16,walk_turn_walk,5.0,0.55,7,4,0.16,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,92.138,0.00797
5,0.2,walk_turn_walk,5.0,0.55,7,4,0.2,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,89.248,0.01548
6,0.24,walk_turn_walk,5.0,0.55,7,4,0.24,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,91.427,0.0086
7,0.28,walk_turn_walk,5.0,0.55,7,4,0.28,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,94.467,0.00786
8,0.32,walk_turn_walk,5.0,0.55,7,4,0.32,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,97.527,0.00763
9,0.36,walk_turn_walk,5.0,0.55,7,4,0.36,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,99.369,0.00825
10,0.4,walk_turn_walk,5.0,0.55,7,4,0.4,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,102.093,0.00757
11,0.44,walk_turn_walk,5.0,0.55,7,4,0.44,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,102.373,0.0092
12,0.48,walk_turn_walk,5.0,0.55,7,4,0.48,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,98.502,0.01625
13,0.52,walk_turn_walk,5.0,0.55,7,4,0.52,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,97.931,0.00942
14,0.56,walk_turn_walk,5.0,0.55,7,4,0.56,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,99.25,0.00861
15,0.6,walk_turn_walk,5.0,0.55,7,4,0.6,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,101.278,0.00801
16,0.64,walk_turn_walk,5.0,0.55,7,4,0.64,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,97.469,0.01555
17,0.68,walk_turn_walk,5.0,0.55,7,4,0.68,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,94.108,0.01528
18,0.72,walk_turn_walk,5.0,0.55,7,4,0.72,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,96.207,0.00837
19,0.76,walk_turn_walk,5.0,0.55,7,4,0.76,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,98.038,0.0084
20,0.8,walk_turn_walk,5.0,0.55,7,4,0.8,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,99.945,0.00825
21,0.84,walk_turn_walk,5.0,0.55,7,4,0.84,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,101.225,0.00849
22,0.88,walk_turn_walk,5.0,0.55,7,4,0.88,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,102.933,0.00822
23,0.92,walk_turn_walk,5.0,0.55,7,4,0.92,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,103.829,0.0086
24,0.96,walk_turn_walk,5.0,0.55,7,4,0.96,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,106.116,0.00788
25,1.0,walk_turn_walk,5.0,0.55,7,4,1.0,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,107.373,0.00772
26,1.04,walk_turn_walk,5.0,0.55,7,4,1.04,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,108.821,0.00816
27,1.08,walk_turn_walk,5.0,0.55,7,4,1.08,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,109.322,0.00825
28,1.12,walk_turn_walk,5.0,0.55,7,4,1.12,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,110.583,0.00793
29,1.16,walk_turn_walk,5.0,0.55,7,4,1.16,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,112.025,0.00766
30,1.2,walk_turn_walk,5.0,0.55,7,4,1.2,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,110.005,0.01057
31,1.24,walk_turn_walk,5.0,0.55,7,4,1.24,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,110.326,0.00835
