frame_id,time_sec,person_count,track_id,box_conf,bbox_x1,bbox_y1,bbox_x2,bbox_y2,mean_keypoint_conf
0,0.0,2,1,0.9319,334.84,174.84,518.46,473.64,0.6884
0,0.0,2,2,0.9281,136.12,187.14,296.46,473.35,0.6651
1,0.0653,2,1,0.9369,327.22,176.31,508.59,470.96,0.6404
1,0.0653,2,2,0.938,145.12,189.37,304.57,473.21,0.6873
2,0.1307,2,1,0.9301,327.72,177.85,508.93,470.79,0.6461
2,0.1307,2,2,0.9395,151.48,192.39,310.88,473.94,0.7214
3,0.196,2,1,0.9432,324.91,179.09,508.09,472.27,0.699
3,0.196,2,2,0.921,147.7,194.84,307.02,474.12,0.6971
4,0.2613,2,1,0.939,324.32,180.34,509.28,472.98,0.7195
4,0.2613,2,2,0.9431,145.4,196.84,306.02,474.36,0.7047
5,0.3267,2,1,0.9357,319.49,180.17,506.6,472.77,0.6752
5,0.3267,2,2,0.9464,134.51,200.1,297.03,474.22,0.7173
6,0.392,2,1,0.9362,319.89,179.41,507.82,471.21,0.6883
6,0.392,2,2,0.9452,129.2,202.23,295.4,473.88,0.7095
7,0.4573,2,1,0.9216,325.88,177.65,514.49,471.59,0.7183
7,0.4573,2,2,0.9519,132.38,203.25,304.57,473.87,0.7067
8,0.5227,2,1,0.9329,321.78,175.12,511.58,472.07,0.6913
8,0.5227,2,2,0.9535,132.29,203.27,310.15,474.18,0.716
9,0.588,2,1,0.9354,316.18,173.48,506.6,471.71,0.676
9,0.588,2,2,0.9354,128.32,203.45,310.2,474.1,0.7159
10,0.6533,2,1,0.9332,312.0,172.89,502.87,471.52,0.6896
10,0.6533,2,2,0.9402,123.09,204.09,307.45,473.67,0.7126
11,0.7187,2,1,0.9296,314.46,172.4,505.8,472.99,0.6735
11,0.7187,2,2,0.9528,126.9,202.79,316.67,473.88,0.7208
12,0.784,2,1,0.9266,314.43,172.04,506.1,473.52,0.6746
12,0.784,2,2,0.9477,127.05,202.1,321.62,474.03,0.7275
13,0.8493,2,1,0.9291,313.49,172.37,504.71,472.31,0.7116
13,0.8493,2,2,0.9374,122.51,201.6,320.42,474.06,0.7076
14,0.9147,2,1,0.9274,316.4,170.95,508.37,472.6,0.6903
14,0.9147,2,2,0.9458,124.19,198.45,327.79,473.98,0.7147
15,0.98,2,1,0.9326,317.07,169.2,510.17,473.04,0.687
15,0.98,2,2,0.9498,122.92,195.45,330.87,473.73,0.7129
16,1.0453,2,1,0.9293,313.99,165.86,508.5,471.97,0.7369
16,1.0453,2,2,0.9324,122.08,194.47,332.55,473.82,0.7133
17,1.1107,2,1,0.9371,311.12,162.84,507.0,471.43,0.7269
17,1.1107,2,2,0.9429,119.62,194.24,331.03,473.8,0.7054
18,1.176,2,1,0.9306,312.22,159.4,508.13,471.58,0.7086
18,1.176,2,2,0.951,122.76,193.36,336.81,474.12,0.7067
19,1.2413,2,1,0.9339,311.9,156.02,507.69,471.7,0.7001
19,1.2413,2,2,0.952,122.14,191.89,338.03,473.94,0.7056
20,1.3067,2,1,0.933,313.97,154.18,508.78,471.73,0.6757
20,1.3067,2,2,0.9423,122.29,190.69,339.58,473.81,0.7069
21,1.372,2,1,0.9317,316.46,153.13,509.5,471.51,0.6971
21,1.372,2,2,0.9382,124.53,187.91,344.67,473.7,0.715
22,1.4373,2,1,0.9259,318.02,151.07,510.49,471.65,0.6857
22,1.4373,2,2,0.9405,127.45,184.09,350.17,472.98,0.7046
23,1.5027,2,1,0.9211,326.75,149.69,516.63,472.02,0.6866
23,1.5027,2,2,0.943,129.15,179.58,355.49,473.31,0.711
24,1.568,2,1,0.9206,337.66,148.67,523.12,471.59,0.6995
24,1.568,2,2,0.9441,122.81,176.76,348.93,473.44,0.7069
25,1.6333,2,1,0.9242,352.93,147.81,532.45,472.48,0.6701
25,1.6333,2,2,0.9366,110.47,174.77,332.91,473.77,0.7051
26,1.6987,2,1,0.9203,365.64,147.5,538.14,472.59,0.766
26,1.6987,2,2,0.9079,88.21,173.86,300.44,474.27,0.6472
27,1.764,2,1,0.9216,371.84,146.62,539.02,472.82,0.7691
27,1.764,2,2,0.8996,82.28,173.23,284.5,474.35,0.6313
28,1.8293,2,1,0.9332,389.76,145.11,556.75,473.57,0.7682
28,1.8293,2,2,0.9013,82.4,172.79,275.08,474.33,0.6238
29,1.8947,2,1,0.9332,396.79,144.59,562.97,473.87,0.768
29,1.8947,2,2,0.9013,85.21,172.67,269.06,474.33,0.6234
