frame_id,time_sec,person_count,track_id,box_conf,bbox_x1,bbox_y1,bbox_x2,bbox_y2,mean_keypoint_conf
0,0.0,2,1,0.9187,180.47,186.75,319.31,473.65,0.5729
0,0.0,2,2,0.8515,334.03,156.45,438.52,474.66,0.6123
1,0.0655,2,1,0.9167,194.41,189.16,332.68,474.48,0.6319
1,0.0655,2,2,0.7997,321.59,151.87,427.48,474.22,0.627
2,0.1309,2,1,0.8749,205.11,189.48,343.57,474.7,0.6012
2,0.1309,2,2,0.8278,309.33,148.25,415.76,473.51,0.6329
3,0.1964,2,1,0.8223,210.2,187.71,348.73,474.35,0.5695
3,0.1964,2,2,0.8677,281.21,142.8,390.21,473.75,0.6082
4,0.2618,2,1,0.6432,225.89,186.76,366.27,473.55,0.6068
4,0.2618,2,2,0.8427,263.44,138.51,376.52,472.59,0.6756
5,0.3273,2,1,0.8316,226.35,186.36,370.52,475.24,0.6739
5,0.3273,2,2,0.768,255.53,136.57,372.2,473.52,0.6288
6,0.3927,3,1,0.5961,196.97,188.51,338.0,474.22,0.6775
6,0.3927,3,2,0.865,231.26,134.28,352.5,472.45,0.6426
6,0.3927,3,4,0.4784,236.56,186.3,294.53,277.18,0.3435
7,0.4582,3,1,0.7334,189.39,187.41,329.47,474.09,0.6593
7,0.4582,3,2,0.8346,221.14,133.29,346.05,471.73,0.6667
7,0.4582,3,4,0.4676,238.38,187.48,293.7,273.72,0.356
8,0.5236,3,1,0.5331,205.82,191.39,346.05,472.89,0.7129
8,0.5236,3,2,0.84,225.57,132.31,356.31,472.88,0.7152
8,0.5236,3,4,0.2529,238.09,189.1,290.86,270.83,0.3425
9,0.5891,1,2,0.836,219.42,131.12,353.58,471.59,0.663
10,0.6545,2,2,0.8641,223.75,134.4,358.44,471.41,0.6084
10,0.6545,2,1,0.6912,201.14,187.25,340.2,473.75,0.6445
11,0.72,2,2,0.8069,240.57,172.34,362.62,472.81,0.5922
11,0.72,2,4,0.3482,246.91,187.7,298.44,267.02,0.2728
12,0.7855,1,2,0.7959,247.12,184.02,366.23,473.65,0.6057
13,0.8509,1,2,0.8091,245.24,163.14,372.62,472.49,0.6665
14,0.9164,1,2,0.7873,244.78,155.0,375.4,472.07,0.65
15,0.9818,1,2,0.8503,246.02,152.16,378.22,472.23,0.6531
16,1.0473,2,2,0.8685,243.65,149.89,376.66,471.9,0.629
16,1.0473,2,1,0.4229,214.4,172.87,352.38,473.59,0.55
17,1.1127,2,2,0.8512,242.98,148.36,376.8,471.99,0.6312
17,1.1127,2,1,0.4782,220.04,171.77,352.49,473.78,0.5595
18,1.1782,2,2,0.8379,242.51,147.26,376.83,471.95,0.6411
18,1.1782,2,1,0.5128,222.55,173.37,348.51,473.92,0.5532
19,1.2436,2,2,0.8788,243.02,146.46,377.75,471.99,0.574
19,1.2436,2,1,0.4183,224.55,173.87,344.89,473.45,0.5403
20,1.3091,3,2,0.8788,242.49,145.68,377.79,472.45,0.6198
20,1.3091,3,1,0.4951,225.01,175.59,339.66,473.2,0.5634
20,1.3091,3,5,0.3505,242.73,183.06,300.0,268.41,0.3148
21,1.3745,3,2,0.8808,244.08,146.29,379.16,472.48,0.5909
21,1.3745,3,1,0.5874,230.41,178.46,340.36,473.05,0.5696
21,1.3745,3,5,0.2632,245.04,183.21,301.77,267.72,0.3389
22,1.44,1,2,0.8537,251.07,170.94,378.3,473.21,0.6196
23,1.5055,2,2,0.855,256.93,179.77,384.13,473.12,0.6361
23,1.5055,2,5,0.2805,250.7,184.02,306.22,266.74,0.3343
24,1.5709,1,2,0.8743,249.46,158.99,388.14,473.18,0.6253
25,1.6364,2,2,0.883,257.22,154.59,397.69,473.01,0.6581
25,1.6364,2,1,0.8569,234.3,183.89,340.49,472.26,0.6275
26,1.7018,2,2,0.9038,281.5,153.98,417.83,472.71,0.6589
26,1.7018,2,1,0.8772,231.75,185.49,336.47,472.5,0.6675
27,1.7673,2,2,0.9174,299.39,154.21,434.52,472.19,0.7721
27,1.7673,2,1,0.896,223.85,185.38,331.88,473.61,0.7311
28,1.8327,2,2,0.9244,321.62,155.16,458.74,471.76,0.7649
28,1.8327,2,1,0.9001,207.17,185.4,319.69,473.87,0.7116
29,1.8982,2,2,0.9344,336.65,155.88,476.41,471.69,0.6858
29,1.8982,2,1,0.9215,185.29,185.52,300.55,473.73,0.6609
30,1.9636,2,2,0.9352,342.38,155.85,483.82,472.24,0.7197
30,1.9636,2,1,0.909,171.44,186.36,289.17,474.31,0.6396
31,2.0291,2,2,0.9272,345.36,154.72,487.49,472.56,0.7037
31,2.0291,2,1,0.8928,164.91,188.19,283.4,474.43,0.6146
32,2.0945,2,2,0.9271,346.23,154.35,488.61,472.64,0.7046
32,2.0945,2,1,0.8938,162.3,188.91,281.72,474.45,0.6118
