frame_id,time_sec,person_count,track_id,box_conf,bbox_x1,bbox_y1,bbox_x2,bbox_y2,mean_keypoint_conf
0,0.0,2,1,0.9366,88.01,191.14,277.25,475.14,0.7278
0,0.0,2,2,0.9333,438.16,142.14,573.16,473.46,0.7464
1,0.0644,2,1,0.9326,107.65,190.61,296.61,473.78,0.7708
1,0.0644,2,2,0.9308,434.78,145.78,568.04,472.26,0.7668
2,0.1289,2,1,0.9249,131.82,193.18,319.42,473.0,0.816
2,0.1289,2,2,0.9312,431.71,150.65,563.68,472.41,0.7484
3,0.1933,2,1,0.9195,163.72,194.42,353.91,473.28,0.8657
3,0.1933,2,2,0.932,430.37,155.75,561.36,472.74,0.7476
4,0.2578,2,1,0.9217,177.15,197.05,369.29,472.53,0.8763
4,0.2578,2,2,0.9315,432.74,158.7,563.97,473.35,0.7283
5,0.3222,2,1,0.9289,182.22,199.74,377.31,471.79,0.8641
5,0.3222,2,2,0.9353,438.19,159.36,570.58,474.21,0.7325
6,0.3867,2,1,0.9141,191.24,203.28,391.29,471.48,0.8243
6,0.3867,2,2,0.9273,445.73,159.68,578.66,473.16,0.7382
7,0.4511,2,1,0.9261,183.4,205.47,389.08,472.21,0.8492
7,0.4511,2,2,0.9345,449.98,158.81,584.43,473.25,0.7409
8,0.5156,2,1,0.9333,182.31,204.55,396.29,471.85,0.9082
8,0.5156,2,2,0.9306,453.03,156.46,589.62,472.99,0.7413
9,0.58,2,1,0.9271,167.68,201.98,389.76,472.85,0.835
9,0.58,2,2,0.9312,455.13,154.13,593.75,472.74,0.728
10,0.6444,2,1,0.939,142.24,196.68,369.48,474.1,0.7676
10,0.6444,2,2,0.9311,457.14,152.3,597.85,472.61,0.7311
11,0.7089,2,1,0.9388,125.64,189.32,356.34,474.02,0.7607
11,0.7089,2,2,0.9357,459.43,150.17,602.97,472.68,0.7378
12,0.7733,2,1,0.9414,114.42,182.76,346.07,474.39,0.7379
12,0.7733,2,2,0.9364,461.36,148.04,608.24,472.75,0.7503
13,0.8378,2,1,0.9329,109.62,177.59,339.54,474.51,0.7024
13,0.8378,2,2,0.94,460.84,146.03,611.12,472.92,0.7344
14,0.9022,2,1,0.9353,101.08,175.09,327.69,474.18,0.6845
14,0.9022,2,2,0.9408,458.98,144.88,611.73,472.37,0.7268
15,0.9667,2,1,0.9289,92.89,174.04,315.59,474.28,0.6788
15,0.9667,2,2,0.9392,453.24,143.9,607.81,472.7,0.7214
16,1.0311,2,1,0.9345,86.67,174.34,303.87,474.89,0.6647
16,1.0311,2,2,0.9403,446.15,144.19,600.81,472.99,0.7402
17,1.0956,2,1,0.9345,86.01,174.52,297.96,475.12,0.6644
17,1.0956,2,2,0.9402,443.38,144.33,598.12,473.1,0.7403
