split,clip_id,subject,action_label,valid_feature_frames,day06_min_valid_frames,vae_window_count,vae_window_ready
train,S01_A001_T01,S01,bend_return,85,10,12,1
train,S01_A002_T01,S01,leg_raise_lower,125,10,20,1
train,S01_A003_T01,S01,walk_turn_walk,266,10,48,1
train,S01_A004_T01,S01,drink_return,120,10,19,1
train,S01_A005_T01,S01,sit_stand,102,10,15,1
train,S01_A006_T01,S01,wave,126,10,20,1
val,S02_A001_T01,S02,bend_return,154,10,25,1
val,S02_A002_T01,S02,leg_raise_lower,116,10,18,1
val,S02_A003_T01,S02,walk_turn_walk,241,10,43,1
val,S02_A004_T01,S02,drink_return,154,10,25,1
val,S02_A005_T01,S02,sit_stand,120,10,19,1
val,S02_A006_T01,S02,wave,94,10,13,1
test,S03_A001_T01,S03,bend_return,62,10,7,1
test,S03_A002_T01,S03,leg_raise_lower,74,10,9,1
test,S03_A003_T01,S03,walk_turn_walk,268,10,48,1
test,S03_A004_T01,S03,drink_return,135,10,22,1
test,S03_A005_T01,S03,sit_stand,89,10,12,1
test,S03_A006_T01,S03,wave,102,10,15,1
