frame_id,video_time_sec,expected_label,window_seconds,confidence_threshold,stabilization_buffer,stabilization_min_votes,buffer_duration_sec,valid_feature_ratio,raw_label,threshold_label,stable_label,confidence,prediction_updated,processing_fps,frame_processing_sec
0,0.0,wave,3.0,0.2,5,3,0.0,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,0.0,15.03912
1,0.04,wave,3.0,0.2,5,3,0.04,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,15.542,0.0619
2,0.08,wave,3.0,0.2,5,3,0.08,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,19.354,0.01814
3,0.12,wave,3.0,0.2,5,3,0.12,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,22.939,0.01751
4,0.16,wave,3.0,0.2,5,3,0.16,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,26.15,0.01777
5,0.2,wave,3.0,0.2,5,3,0.2,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,27.851,0.02286
6,0.24,wave,3.0,0.2,5,3,0.24,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,29.895,0.0201
7,0.28,wave,3.0,0.2,5,3,0.28,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,32.537,0.01736
8,0.32,wave,3.0,0.2,5,3,0.32,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,34.933,0.01732
9,0.36,wave,3.0,0.2,5,3,0.36,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,36.511,0.01947
10,0.4,wave,3.0,0.2,5,3,0.4,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,38.073,0.01856
11,0.44,wave,3.0,0.2,5,3,0.44,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,40.973,0.01453
12,0.48,wave,3.0,0.2,5,3,0.48,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,48.394,0.00859
13,0.52,wave,3.0,0.2,5,3,0.52,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,50.093,0.01468
14,0.56,wave,3.0,0.2,5,3,0.56,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,55.56,0.00927
15,0.6,wave,3.0,0.2,5,3,0.6,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,60.237,0.00903
16,0.64,wave,3.0,0.2,5,3,0.64,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,65.89,0.00826
17,0.68,wave,3.0,0.2,5,3,0.68,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,70.317,0.00859
18,0.72,wave,3.0,0.2,5,3,0.72,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,75.038,0.00818
19,0.76,wave,3.0,0.2,5,3,0.76,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,79.492,0.00795
20,0.8,wave,3.0,0.2,5,3,0.8,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,81.971,0.00932
21,0.84,wave,3.0,0.2,5,3,0.84,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,86.097,0.00777
22,0.88,wave,3.0,0.2,5,3,0.88,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,83.872,0.01537
23,0.92,wave,3.0,0.2,5,3,0.92,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,87.713,0.00787
24,0.96,wave,3.0,0.2,5,3,0.96,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,90.953,0.00825
25,1.0,wave,3.0,0.2,5,3,1.0,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,93.852,0.00771
26,1.04,wave,3.0,0.2,5,3,1.04,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,92.195,0.01263
27,1.08,wave,3.0,0.2,5,3,1.08,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,94.902,0.00797
28,1.12,wave,3.0,0.2,5,3,1.12,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,97.896,0.00769
