frame_id,video_time_sec,expected_label,window_seconds,confidence_threshold,stabilization_buffer,stabilization_min_votes,buffer_duration_sec,valid_feature_ratio,raw_label,threshold_label,stable_label,confidence,prediction_updated,processing_fps,frame_processing_sec
0,0.0,wave,5.0,0.55,7,4,0.0,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,0.0,1.30346
1,0.04,wave,5.0,0.55,7,4,0.04,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,87.266,0.00974
2,0.08,wave,5.0,0.55,7,4,0.08,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,87.694,0.0102
3,0.12,wave,5.0,0.55,7,4,0.12,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,90.088,0.00874
4,0.16,wave,5.0,0.55,7,4,0.16,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,92.734,0.00807
5,0.2,wave,5.0,0.55,7,4,0.2,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,95.146,0.00817
6,0.24,wave,5.0,0.55,7,4,0.24,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,97.796,0.00809
7,0.28,wave,5.0,0.55,7,4,0.28,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,98.508,0.00876
8,0.32,wave,5.0,0.55,7,4,0.32,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,100.87,0.00783
9,0.36,wave,5.0,0.55,7,4,0.36,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,101.764,0.00883
10,0.4,wave,5.0,0.55,7,4,0.4,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,103.646,0.0079
11,0.44,wave,5.0,0.55,7,4,0.44,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,103.952,0.00904
12,0.48,wave,5.0,0.55,7,4,0.48,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,105.654,0.00829
13,0.52,wave,5.0,0.55,7,4,0.52,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,105.143,0.00929
14,0.56,wave,5.0,0.55,7,4,0.56,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,106.272,0.0082
15,0.6,wave,5.0,0.55,7,4,0.6,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,107.205,0.00825
16,0.64,wave,5.0,0.55,7,4,0.64,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,108.502,0.00798
17,0.68,wave,5.0,0.55,7,4,0.68,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,108.792,0.00861
18,0.72,wave,5.0,0.55,7,4,0.72,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,107.719,0.00981
19,0.76,wave,5.0,0.55,7,4,0.76,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,106.429,0.01006
20,0.8,wave,5.0,0.55,7,4,0.8,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,106.593,0.00893
21,0.84,wave,5.0,0.55,7,4,0.84,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,107.356,0.00832
22,0.88,wave,5.0,0.55,7,4,0.88,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,103.352,0.01456
23,0.92,wave,5.0,0.55,7,4,0.92,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,101.898,0.01087
24,0.96,wave,5.0,0.55,7,4,0.96,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,103.244,0.00861
25,1.0,wave,5.0,0.55,7,4,1.0,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,102.985,0.00919
26,1.04,wave,5.0,0.55,7,4,1.04,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,104.802,0.00784
27,1.08,wave,5.0,0.55,7,4,1.08,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,106.5,0.00789
28,1.12,wave,5.0,0.55,7,4,1.12,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,108.317,0.00766
29,1.16,wave,5.0,0.55,7,4,1.16,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,109.884,0.00793
30,1.2,wave,5.0,0.55,7,4,1.2,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,110.038,0.0085
31,1.24,wave,5.0,0.55,7,4,1.24,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,104.994,0.01632
32,1.28,wave,5.0,0.55,7,4,1.28,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,102.282,0.01256
33,1.32,wave,5.0,0.55,7,4,1.32,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,101.164,0.00947
34,1.36,wave,5.0,0.55,7,4,1.36,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,102.483,0.00833
35,1.4,wave,5.0,0.55,7,4,1.4,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,103.866,0.00824
36,1.44,wave,5.0,0.55,7,4,1.44,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,105.049,0.00861
37,1.48,wave,5.0,0.55,7,4,1.48,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,105.828,0.00818
38,1.52,wave,5.0,0.55,7,4,1.52,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,106.615,0.00868
39,1.56,wave,5.0,0.55,7,4,1.56,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,107.593,0.00801
40,1.6,wave,5.0,0.55,7,4,1.6,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,108.695,0.00801
41,1.64,wave,5.0,0.55,7,4,1.64,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,110.38,0.00761
42,1.68,wave,5.0,0.55,7,4,1.68,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,106.624,0.01342
43,1.72,wave,5.0,0.55,7,4,1.72,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,108.138,0.00783
44,1.76,wave,5.0,0.55,7,4,1.76,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,109.831,0.00763
45,1.8,wave,5.0,0.55,7,4,1.8,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,111.396,0.00765
46,1.84,wave,5.0,0.55,7,4,1.84,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,112.88,0.00757
47,1.88,wave,5.0,0.55,7,4,1.88,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,112.056,0.00926
48,1.92,wave,5.0,0.55,7,4,1.92,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,113.344,0.00801
49,1.96,wave,5.0,0.55,7,4,1.96,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,111.868,0.00935
50,2.0,wave,5.0,0.55,7,4,2.0,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,113.479,0.00754
51,2.04,wave,5.0,0.55,7,4,2.04,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,114.906,0.00745
52,2.08,wave,5.0,0.55,7,4,2.08,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,115.725,0.00783
53,2.12,wave,5.0,0.55,7,4,2.12,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,114.767,0.00914
54,2.16,wave,5.0,0.55,7,4,2.16,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,114.537,0.00854
55,2.2,wave,5.0,0.55,7,4,2.2,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,115.264,0.00791
56,2.24,wave,5.0,0.55,7,4,2.24,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,115.913,0.00781
57,2.28,wave,5.0,0.55,7,4,2.28,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,117.101,0.00751
58,2.32,wave,5.0,0.55,7,4,2.32,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,117.255,0.00811
59,2.36,wave,5.0,0.55,7,4,2.36,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,115.258,0.01003
60,2.4,wave,5.0,0.55,7,4,2.4,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,115.206,0.0094
61,2.44,wave,5.0,0.55,7,4,2.44,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,108.833,0.01807
62,2.48,wave,5.0,0.55,7,4,2.48,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,108.121,0.00884
63,2.52,wave,5.0,0.55,7,4,2.52,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,106.675,0.01038
64,2.56,wave,5.0,0.55,7,4,2.56,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,107.399,0.00831
65,2.6,wave,5.0,0.55,7,4,2.6,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,106.387,0.00996
66,2.64,wave,5.0,0.55,7,4,2.64,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,106.366,0.00918
67,2.68,wave,5.0,0.55,7,4,2.68,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,106.449,0.00887
68,2.72,wave,5.0,0.55,7,4,2.72,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,101.86,0.01608
