case_id,source_day,category,severity,symptom,evidence,failure_candidate,student_selected,root_cause_stage,hypothesis,changed_variable,result
D05_S02_A001_T01,DAY05,POSE_OR_DATA,REVIEW,5일차 QA에서 재검토가 필요한 Clip,qa=CHECK; decision=PASS; pose_ratio=1.0; mean_conf=0.975; note=,1,,,,,
D05_S02_A002_T01,DAY05,POSE_OR_DATA,REVIEW,5일차 QA에서 재검토가 필요한 Clip,qa=CHECK; decision=PASS; pose_ratio=1.0; mean_conf=0.9695; note=,1,,,,,
D05_S02_A003_T01,DAY05,POSE_OR_DATA,REVIEW,5일차 QA에서 재검토가 필요한 Clip,qa=CHECK; decision=PASS; pose_ratio=1.0; mean_conf=0.914; note=,1,,,,,
D05_S02_A004_T01,DAY05,POSE_OR_DATA,REVIEW,5일차 QA에서 재검토가 필요한 Clip,qa=CHECK; decision=PASS; pose_ratio=1.0; mean_conf=0.9495; note=,1,,,,,
D05_S02_A005_T01,DAY05,POSE_OR_DATA,REVIEW,5일차 QA에서 재검토가 필요한 Clip,qa=CHECK; decision=PASS; pose_ratio=1.0; mean_conf=0.972; note=,1,,,,,
D06_S02_A001_T01,DAY06,ACTION,REVIEW,Validation 정답이지만 Confidence가 낮음,true=bend_return; pred=bend_return; confidence=0.2967,1,,,,,
D06_S02_A002_T01,DAY06,ACTION,REVIEW,Validation 정답이지만 Confidence가 낮음,true=leg_raise_lower; pred=leg_raise_lower; confidence=0.3200,1,,,,,
D06_S02_A003_T01,DAY06,ACTION,HIGH,Validation 오분류,true=walk_turn_walk; pred=leg_raise_lower; confidence=0.2133,1,,,,,
D06_S02_A004_T01,DAY06,ACTION,HIGH,Validation 오분류,true=drink_return; pred=wave; confidence=0.2233,1,,,,,
D06_S02_A005_T01,DAY06,ACTION,REVIEW,Validation 정답이지만 Confidence가 낮음,true=sit_stand; pred=sit_stand; confidence=0.3167,1,,,,,
D06_S02_A006_T01,DAY06,ACTION,REVIEW,Validation 정답이지만 Confidence가 낮음,true=wave; pred=wave; confidence=0.2233,1,,,,,
D07_S02_A003_T01_w5_c0.55_s3,DAY07,REALTIME,REVIEW,Realtime 안정성 또는 UNKNOWN 문제,unknown_ratio=1.0000; stable_match_ratio=0.0000; stable_changes=0; fps=91.886,1,,,,,
D07_S02_A003_T01_w5_c0.55_s5,DAY07,REALTIME,REVIEW,Realtime 안정성 또는 UNKNOWN 문제,unknown_ratio=1.0000; stable_match_ratio=0.0000; stable_changes=0; fps=91.548,1,,,,,
D07_S02_A003_T01_w5_c0.55_s7,DAY07,REALTIME,REVIEW,Realtime 안정성 또는 UNKNOWN 문제,unknown_ratio=1.0000; stable_match_ratio=0.0000; stable_changes=0; fps=93.612,1,,,,,
D07_S02_A006_T01_w2_c0.55_s5,DAY07,REALTIME,REVIEW,Realtime 안정성 또는 UNKNOWN 문제,unknown_ratio=1.0000; stable_match_ratio=0.0000; stable_changes=0; fps=89.937,1,,,,,
D07_S02_A006_T01_w3_c0.55_s5,DAY07,REALTIME,REVIEW,Realtime 안정성 또는 UNKNOWN 문제,unknown_ratio=1.0000; stable_match_ratio=0.0000; stable_changes=0; fps=98.815,1,,,,,
D09_AUGMENTATION,DAY09,DATA,OBSERVE,보강 전후 성능 비교,baseline_macro_f1=0.5556; augmented_macro_f1=0.7778,0,,,,,
D09_VAE_walk_turn_walk,DAY09,VAE_REFERENCE_DIFFERENCE,OBSERVE,wave Reference와 가장 큰 평균 차이를 보인 Action,action=walk_turn_walk; mean_error=3869.8074; candidate_ratio=1.0,0,,,,,
