frame_id,video_time_sec,expected_label,window_seconds,confidence_threshold,stabilization_buffer,stabilization_min_votes,buffer_duration_sec,valid_feature_ratio,raw_label,threshold_label,stable_label,confidence,prediction_updated,processing_fps,frame_processing_sec
0,0.0,wave,3.0,0.2,5,3,0.0,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,0.0,19.30199
1,0.04,wave,3.0,0.2,5,3,0.04,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,4.47,0.0571
2,0.08,wave,3.0,0.2,5,3,0.08,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,9.046,0.01839
3,0.12,wave,3.0,0.2,5,3,0.12,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,13.632,0.01778
4,0.16,wave,3.0,0.2,5,3,0.16,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,17.979,0.01691
5,0.2,wave,3.0,0.2,5,3,0.2,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,21.739,0.01759
6,0.24,wave,3.0,0.2,5,3,0.24,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,25.321,0.01698
7,0.28,wave,3.0,0.2,5,3,0.28,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,28.138,0.01833
8,0.32,wave,3.0,0.2,5,3,0.32,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,31.053,0.01714
9,0.36,wave,3.0,0.2,5,3,0.36,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,33.732,0.01694
10,0.4,wave,3.0,0.2,5,3,0.4,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,36.031,0.01729
11,0.44,wave,3.0,0.2,5,3,0.44,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,38.196,0.01713
12,0.48,wave,3.0,0.2,5,3,0.48,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,39.639,0.01889
13,0.52,wave,3.0,0.2,5,3,0.52,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,43.905,0.01138
14,0.56,wave,3.0,0.2,5,3,0.56,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,51.765,0.00781
15,0.6,wave,3.0,0.2,5,3,0.6,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,59.586,0.00733
16,0.64,wave,3.0,0.2,5,3,0.64,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,63.93,0.0094
