frame_id,video_time_sec,expected_label,window_seconds,confidence_threshold,stabilization_buffer,stabilization_min_votes,buffer_duration_sec,valid_feature_ratio,raw_label,threshold_label,stable_label,confidence,prediction_updated,processing_fps,frame_processing_sec
0,0.0,,3.0,0.2,5,3,0.0,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,0.0,14.07248
1,0.04,,3.0,0.2,5,3,0.04,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,17.546,0.05462
2,0.08,,3.0,0.2,5,3,0.08,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,20.618,0.01997
3,0.12,,3.0,0.2,5,3,0.12,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,23.577,0.01943
4,0.16,,3.0,0.2,5,3,0.16,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,26.87,0.01728
5,0.2,,3.0,0.2,5,3,0.2,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,29.8,0.01743
6,0.24,,3.0,0.2,5,3,0.24,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,31.383,0.02166
7,0.28,,3.0,0.2,5,3,0.28,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,33.76,0.01782
8,0.32,,3.0,0.2,5,3,0.32,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,35.334,0.01979
9,0.36,,3.0,0.2,5,3,0.36,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,36.951,0.0192
10,0.4,,3.0,0.2,5,3,0.4,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,38.122,0.02009
11,0.44,,3.0,0.2,5,3,0.44,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,38.989,0.02109
12,0.48,,3.0,0.2,5,3,0.48,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,40.168,0.0196
13,0.52,,3.0,0.2,5,3,0.52,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,41.678,0.0174
14,0.56,,3.0,0.2,5,3,0.56,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,42.481,0.01981
15,0.6,,3.0,0.2,5,3,0.6,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,45.157,0.01408
16,0.64,,3.0,0.2,5,3,0.64,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,52.279,0.00815
17,0.68,,3.0,0.2,5,3,0.68,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,59.853,0.0075
18,0.72,,3.0,0.2,5,3,0.72,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,66.682,0.00751
19,0.76,,3.0,0.2,5,3,0.76,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,72.169,0.00787
20,0.8,,3.0,0.2,5,3,0.8,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,77.707,0.00752
21,0.84,,3.0,0.2,5,3,0.84,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,82.268,0.00778
22,0.88,,3.0,0.2,5,3,0.88,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,86.768,0.00751
23,0.92,,3.0,0.2,5,3,0.92,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,90.603,0.00767
24,0.96,,3.0,0.2,5,3,0.96,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,94.184,0.00809
25,1.0,,3.0,0.2,5,3,1.0,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,92.356,0.0124
26,1.04,,3.0,0.2,5,3,1.04,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,89.367,0.01561
27,1.08,,3.0,0.2,5,3,1.08,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,86.792,0.01537
