frame_id,video_time_sec,expected_label,window_seconds,confidence_threshold,stabilization_buffer,stabilization_min_votes,buffer_duration_sec,valid_feature_ratio,raw_label,threshold_label,stable_label,confidence,prediction_updated,processing_fps,frame_processing_sec
0,0.0,,3.0,0.2,5,3,0.0,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,0.0,1.32306
1,0.04,,3.0,0.2,5,3,0.04,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,53.44,0.01697
2,0.08,,3.0,0.2,5,3,0.08,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,54.335,0.01536
3,0.12,,3.0,0.2,5,3,0.12,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,60.927,0.00797
4,0.16,,3.0,0.2,5,3,0.16,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,67.588,0.00751
5,0.2,,3.0,0.2,5,3,0.2,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,71.476,0.00907
6,0.24,,3.0,0.2,5,3,0.24,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,77.337,0.00731
7,0.28,,3.0,0.2,5,3,0.28,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,78.568,0.01091
8,0.32,,3.0,0.2,5,3,0.32,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,83.249,0.00762
9,0.36,,3.0,0.2,5,3,0.36,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,88.102,0.00731
10,0.4,,3.0,0.2,5,3,0.4,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,88.426,0.0106
11,0.44,,3.0,0.2,5,3,0.44,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,92.331,0.00748
12,0.48,,3.0,0.2,5,3,0.48,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,90.043,0.01438
13,0.52,,3.0,0.2,5,3,0.52,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,88.988,0.01193
14,0.56,,3.0,0.2,5,3,0.56,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,86.156,0.01622
15,0.6,,3.0,0.2,5,3,0.6,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,84.526,0.01398
16,0.64,,3.0,0.2,5,3,0.64,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,88.038,0.00807
17,0.68,,3.0,0.2,5,3,0.68,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,88.275,0.01072
18,0.72,,3.0,0.2,5,3,0.72,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,92.333,0.00737
19,0.76,,3.0,0.2,5,3,0.76,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,95.976,0.00752
20,0.8,,3.0,0.2,5,3,0.8,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,99.432,0.0073
21,0.84,,3.0,0.2,5,3,0.84,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,102.439,0.00743
22,0.88,,3.0,0.2,5,3,0.88,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,103.805,0.00829
23,0.92,,3.0,0.2,5,3,0.92,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,106.415,0.00737
24,0.96,,3.0,0.2,5,3,0.96,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,106.535,0.00939
25,1.0,,3.0,0.2,5,3,1.0,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,107.044,0.00817
26,1.04,,3.0,0.2,5,3,1.04,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,102.952,0.01462
27,1.08,,3.0,0.2,5,3,1.08,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,99.434,0.01452
28,1.12,,3.0,0.2,5,3,1.12,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,96.187,0.01447
29,1.16,,3.0,0.2,5,3,1.16,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,98.911,0.00777
30,1.2,,3.0,0.2,5,3,1.2,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,96.286,0.01342
31,1.24,,3.0,0.2,5,3,1.24,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,97.646,0.00881
32,1.28,,3.0,0.2,5,3,1.28,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,100.557,0.00754
