frame_id,video_time_sec,expected_label,window_seconds,confidence_threshold,stabilization_buffer,stabilization_min_votes,buffer_duration_sec,valid_feature_ratio,raw_label,threshold_label,stable_label,confidence,prediction_updated,processing_fps,frame_processing_sec
0,0.0,,3.0,0.2,5,3,0.0,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,0.0,1.27194
1,0.04,,3.0,0.2,5,3,0.04,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,77.868,0.01085
2,0.08,,3.0,0.2,5,3,0.08,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,79.091,0.01057
3,0.12,,3.0,0.2,5,3,0.12,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,80.757,0.00991
4,0.16,,3.0,0.2,5,3,0.16,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,81.688,0.01074
5,0.2,,3.0,0.2,5,3,0.2,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,84.085,0.00907
6,0.24,,3.0,0.2,5,3,0.24,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,84.408,0.01098
7,0.28,,3.0,0.2,5,3,0.28,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,87.133,0.00852
8,0.32,,3.0,0.2,5,3,0.32,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,88.616,0.00937
9,0.36,,3.0,0.2,5,3,0.36,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,90.537,0.00892
10,0.4,,3.0,0.2,5,3,0.4,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,89.445,0.01225
11,0.44,,3.0,0.2,5,3,0.44,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,92.355,0.0081
12,0.48,,3.0,0.2,5,3,0.48,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,92.594,0.01037
13,0.52,,3.0,0.2,5,3,0.52,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,88.934,0.01734
14,0.56,,3.0,0.2,5,3,0.56,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,86.308,0.01551
15,0.6,,3.0,0.2,5,3,0.6,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,83.05,0.01834
16,0.64,,3.0,0.2,5,3,0.64,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,83.089,0.01148
17,0.68,,3.0,0.2,5,3,0.68,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,86.107,0.00853
18,0.72,,3.0,0.2,5,3,0.72,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,88.195,0.00893
19,0.76,,3.0,0.2,5,3,0.76,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,91.315,0.00788
20,0.8,,3.0,0.2,5,3,0.8,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,92.785,0.00917
21,0.84,,3.0,0.2,5,3,0.84,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,94.172,0.00901
22,0.88,,3.0,0.2,5,3,0.88,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,90.356,0.0175
23,0.92,,3.0,0.2,5,3,0.92,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,86.712,0.01831
24,0.96,,3.0,0.2,5,3,0.96,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,83.755,0.01754
25,1.0,,3.0,0.2,5,3,1.0,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,80.989,0.01687
26,1.04,,3.0,0.2,5,3,1.04,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,83.195,0.00949
