frame_id,video_time_sec,expected_label,window_seconds,confidence_threshold,stabilization_buffer,stabilization_min_votes,buffer_duration_sec,valid_feature_ratio,raw_label,threshold_label,stable_label,confidence,prediction_updated,processing_fps,frame_processing_sec
0,0.0,,3.0,0.2,5,3,0.0,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,0.0,1.36466
1,0.04,,3.0,0.2,5,3,0.04,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,81.739,0.01019
2,0.08,,3.0,0.2,5,3,0.08,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,81.509,0.01201
3,0.12,,3.0,0.2,5,3,0.12,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,79.475,0.01602
4,0.16,,3.0,0.2,5,3,0.16,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,77.825,0.01544
5,0.2,,3.0,0.2,5,3,0.2,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,80.966,0.00883
6,0.24,,3.0,0.2,5,3,0.24,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,81.76,0.01076
7,0.28,,3.0,0.2,5,3,0.28,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,85.039,0.00838
8,0.32,,3.0,0.2,5,3,0.32,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,83.699,0.01362
9,0.36,,3.0,0.2,5,3,0.36,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,81.522,0.01569
10,0.4,,3.0,0.2,5,3,0.4,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,79.793,0.0152
11,0.44,,3.0,0.2,5,3,0.44,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,79.123,0.01327
12,0.48,,3.0,0.2,5,3,0.48,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,81.657,0.00954
13,0.52,,3.0,0.2,5,3,0.52,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,85.18,0.00794
14,0.56,,3.0,0.2,5,3,0.56,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,87.609,0.00852
15,0.6,,3.0,0.2,5,3,0.6,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,90.669,0.0081
16,0.64,,3.0,0.2,5,3,0.64,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,90.096,0.01145
17,0.68,,3.0,0.2,5,3,0.68,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,87.351,0.01565
18,0.72,,3.0,0.2,5,3,0.72,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,87.474,0.011
19,0.76,,3.0,0.2,5,3,0.76,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,89.097,0.00915
20,0.8,,3.0,0.2,5,3,0.8,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,90.537,0.00927
21,0.84,,3.0,0.2,5,3,0.84,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,92.169,0.00901
22,0.88,,3.0,0.2,5,3,0.88,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,91.724,0.01093
23,0.92,,3.0,0.2,5,3,0.92,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,92.982,0.00918
24,0.96,,3.0,0.2,5,3,0.96,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,92.932,0.01101
25,1.0,,3.0,0.2,5,3,1.0,1.0,WARMING_UP,WARMING_UP,WARMING_UP,0.0,0,92.369,0.01031
